P11.1	P11.2	P11.3	P11.4	P11.5	P13.1	P13.2	P13.3	P13.4	P13.5	P14.1	P14.2	P14.3	P14.4	P14.5	P14.6	P15.1	P15.2	P15.3	P15.4	P15.5	P20.1	P20.2	P20.3	P20.4	P20.5	P20.6	P29.1	P29.2	P29.3	P29.5	
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Glycine	1.090134878	1.02465578	2.592036063	1.264207737	2.606971778	1.859893108	2.989636411	1.155693644	2.138259262	2.567489474	1.109848134	1.779969976	1.245692387	3.929047211	1.769244198	3.182579685	1.664314003	1.052899593	1.212063066	1.645769306	3.536189705	1.101312797	1.117520832	2.689372637	3.569446701	2.726748042	0.954978594	1.118808899	1.439992761	3.05581872	1.053557731
k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Nicotiana	0.658328206	0.757818337	1.427498122	1.245394857	2.159430278	1.681190384	3.129552333	0.729945985	1.816407587	2.06940202	0.661518272	1.651297448	0.734966008	3.343248718	1.079440204	2.49129049	1.76395623	0.653007429	0.684383895	1.226051135	2.631911087	0.65400423	2.321433548	1.867557172	2.358728787	2.124441152	0.502347742	0.63563099	1.55439075	2.198655607	0.617771361
k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Nicotiana|s__Nicotiana_attenuata	0.658328206	0.757818337	1.427498122	1.245394857	2.159430278	1.681190384	3.129552333	0.729945985	1.816407587	2.06940202	0.661518272	1.651297448	0.734966008	3.343248718	1.079440204	2.49129049	1.76395623	0.653007429	0.684383895	1.226051135	2.631911087	0.65400423	2.321433548	1.867557172	2.358728787	2.124441152	0.502347742	0.63563099	1.55439075	2.198655607	0.617771361
k__Viridiplantae|p__Streptophyta|o__Cucurbitales	1.79256944	1.844380403	0.751314801	1.971786029	1.924598617	2.20839639	1.34327817	2.601285693	1.879750736	1.68689287	2.5665543	0.707698906	1.866288684	1.557749512	1.845862146	1.580058733	1.910170367	1.847691509	2.383465139	1.432027725	1.127749772	1.723793943	2.538806677	1.558042257	1.611301293	1.455632414	2.047714404	1.782717476	2.260168172	1.431720191	1.760065575
k__Viridiplantae|p__Streptophyta|o__Cucurbitales|f__Cucurbitaceae	1.79256944	1.844380403	0.751314801	1.971786029	1.924598617	2.20839639	1.34327817	2.601285693	1.879750736	1.68689287	2.5665543	0.707698906	1.866288684	1.557749512	1.845862146	1.580058733	1.910170367	1.847691509	2.383465139	1.432027725	1.127749772	1.723793943	2.538806677	1.558042257	1.611301293	1.455632414	2.047714404	1.782717476	2.260168172	1.431720191	1.760065575
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Arecales	0.80099321	0.774895933	1.277235162	1.221143181	2.181552101	1.649538241	2.792986288	0.999694502	3.093542423	5.297338947	0.961543152	1.544070341	0.947581174	2.734091282	1.314385747	3.001154069	1.628933792	0.838225897	0.90687719	1.306561826	2.62894137	0.868281393	1.523005323	1.825275957	2.506124051	2.103077864	0.715025549	0.911030103	2.370041946	2.622403537	0.903532915
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Arecales|f__Arecaceae	0.80099321	0.774895933	1.277235162	1.221143181	2.181552101	1.649538241	2.792986288	0.999694502	3.093542423	5.297338947	0.961543152	1.544070341	0.947581174	2.734091282	1.314385747	3.001154069	1.628933792	0.838225897	0.90687719	1.306561826	2.62894137	0.868281393	1.523005323	1.825275957	2.506124051	2.103077864	0.715025549	0.911030103	2.370041946	2.622403537	0.903532915
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Arecales|f__Arecaceae|g__Elaeis	0.80099321	0.774895933	1.277235162	1.221143181	2.181552101	1.649538241	2.792986288	0.999694502	3.093542423	5.297338947	0.961543152	1.544070341	0.947581174	2.734091282	1.314385747	3.001154069	1.628933792	0.838225897	0.90687719	1.306561826	2.62894137	0.868281393	1.523005323	1.825275957	2.506124051	2.103077864	0.715025549	0.911030103	2.370041946	2.622403537	0.903532915
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Arecales|f__Arecaceae|g__Elaeis|s__Elaeis_guineensis	0.80099321	0.774895933	1.277235162	1.221143181	2.181552101	1.649538241	2.792986288	0.999694502	3.093542423	5.297338947	0.961543152	1.544070341	0.947581174	2.734091282	1.314385747	3.001154069	1.628933792	0.838225897	0.90687719	1.306561826	2.62894137	0.868281393	1.523005323	1.825275957	2.506124051	2.103077864	0.715025549	0.911030103	2.370041946	2.622403537	0.903532915
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Lupinus	1.156022151	2.553100651	14.50037566	1.077238019	2.274293591	1.393683419	1.889291526	1.171943554	1.783880025	2.179476595	1.14790007	1.265279863	1.269691277	1.793893826	1.557817455	2.634847109	1.64554083	1.244608196	1.201555169	1.670290329	1.562070783	1.034675392	0.813755818	1.702947781	2.537814707	1.989370041	0.970860378	1.083154549	1.272596834	2.412301902	1.057317752
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Lupinus|s__Lupinus_angustifolius	1.156022151	2.553100651	14.50037566	1.077238019	2.274293591	1.393683419	1.889291526	1.171943554	1.783880025	2.179476595	1.14790007	1.265279863	1.269691277	1.793893826	1.557817455	2.634847109	1.64554083	1.244608196	1.201555169	1.670290329	1.562070783	1.034675392	0.813755818	1.702947781	2.537814707	1.989370041	0.970860378	1.083154549	1.272596834	2.412301902	1.057317752
k__Viridiplantae|p__Streptophyta|o__Lamiales|f__Oleaceae	1.065631347	0.759953037	1.327322815	0.982906135	3.278284027	1.61491871	2.569675357	1.060794166	1.994453195	2.498692864	1.000082934	1.22238902	1.12907278	2.313995292	1.553938066	2.8733642	1.817748591	0.998482307	1.047134771	1.510086314	2.443334101	1.063804317	1.124487919	2.4126975	2.956131367	2.467632035	0.905261704	1.08561347	1.483942271	2.868274009	1.04415768
k__Viridiplantae|p__Streptophyta|o__Lamiales|f__Oleaceae|g__Olea	1.065631347	0.759953037	1.327322815	0.982906135	3.278284027	1.61491871	2.569675357	1.060794166	1.994453195	2.498692864	1.000082934	1.22238902	1.12907278	2.313995292	1.553938066	2.8733642	1.817748591	0.998482307	1.047134771	1.510086314	2.443334101	1.063804317	1.124487919	2.4126975	2.956131367	2.467632035	0.905261704	1.08561347	1.483942271	2.868274009	1.04415768
k__Viridiplantae|p__Streptophyta|o__Lamiales|f__Oleaceae|g__Olea|s__Olea_europaea	1.065631347	0.759953037	1.327322815	0.982906135	3.278284027	1.61491871	2.569675357	1.060794166	1.994453195	2.498692864	1.000082934	1.22238902	1.12907278	2.313995292	1.553938066	2.8733642	1.817748591	0.998482307	1.047134771	1.510086314	2.443334101	1.063804317	1.124487919	2.4126975	2.956131367	2.467632035	0.905261704	1.08561347	1.483942271	2.868274009	1.04415768
k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rosaceae|g__Prunus	0.942024645	1.831572206	9.366391185	1.313781015	1.562141052	1.241687191	1.105037186	0.545347001	1.061425734	0.811799994	0.557607216	0.621917221	2.017781678	0.96465135	1.353422107	2.096833763	0.98992386	1.154245547	0.982259929	1.080151049	3.049156229	1.111687483	0.870885935	0.976572923	2.470522633	2.863025145	1.029553929	1.42125614	1.140748305	0.858129838	1.431439787
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Oryza|s__Oryza_brachyantha	1.644459207	0.958480094	0.500876534	0.873684436	1.192876773	1.382143575	0.667799929	1.563891399	1.191535986	0.767770164	1.685505627	18.29294446	1.758668662	0.54784021	1.670562221	0.918503181	1.323508706	2.102803738	1.828830928	1.794938861	1.189371385	1.569769762	1.141208929	1.032605795	0.595244918	0.890366708	1.521889242	1.706490936	0.958487103	1.142669322	1.95032261
