P11.1	P11.2	P11.3	P11.4	P11.5	P13.1	P13.2	P13.3	P13.4	P13.5	P14.1	P14.2	P14.3	P14.4	P14.5	P14.6	P15.1	P15.2	P15.3	P15.4	P15.5	P20.1	P20.2	P20.3	P20.4	P20.5	P20.6	P29.1	P29.2	P29.3	P29.5	
k__Viridiplantae|p__Streptophyta|o__Caryophyllales|f__Chenopodiaceae|g__Beta	1.53119844	0.988365888	1.289757075	0.753050183	1.495775583	1.678552706	1.510708047	0.497247265	1.434636718	1.301631856	0.462477376	0.557580956	0.482227697	1.367593116	1.573577476	1.275738859	1.450588647	1.57959901	1.31851263	1.688681096	2.285196707	1.40377479	1.645626062	1.3066127	1.324467142	1.296958316	1.382751001	1.662230364	1.081287204	1.786508382	1.964234685
k__Viridiplantae|p__Streptophyta|o__Caryophyllales|f__Chenopodiaceae|g__Beta|s__Beta_vulgaris	1.53119844	0.988365888	1.289757075	0.753050183	1.495775583	1.678552706	1.510708047	0.497247265	1.434636718	1.301631856	0.462477376	0.557580956	0.482227697	1.367593116	1.573577476	1.275738859	1.450588647	1.57959901	1.31851263	1.688681096	2.285196707	1.40377479	1.645626062	1.3066127	1.324467142	1.296958316	1.382751001	1.662230364	1.081287204	1.786508382	1.964234685
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Vigna|s__Vigna_radiata	0.982863864	0.785569431	0.651139494	0.597910789	1.614042253	1.435226857	1.637613495	0.391947844	1.566458947	1.865764055	0.370274608	0.643362642	0.406856183	1.341679289	1.159210156	1.432326445	1.344448015	1.244108954	1.223027828	1.056447394	1.743965908	1.254139899	3.046010646	1.259610767	1.608132227	1.375864653	1.136238089	1.153848518	1.048971388	1.583173824	1.132142159
k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_pennellii	0.527098183	0.495250294	0.989231155	3.139432867	1.558737695	1.199484334	2.112175885	0.636996497	1.253167157	3.082088115	0.586390091	0.900707699	0.683593384	1.604832381	0.848374051	1.696977464	1.135415952	0.513219906	0.561487187	0.866818152	1.584343656	0.563425242	0.791461138	1.58123535	1.762270184	1.383789744	0.431570225	0.536044703	1.31719266	1.662445299	0.488802659
k__Viridiplantae|p__Streptophyta|o__Rosales|f__Cannabaceae	0.810794622	0.612658768	0.738792888	0.780244157	1.605533859	1.125959043	1.348610332	0.938594838	1.350749846	1.386939652	0.938614422	1.393952391	0.984329475	1.423800573	1.086229136	1.415119809	1.18451502	0.838725138	0.872155444	1.168018047	3.074398818	0.893819081	1.67488783	1.099106348	1.503755343	1.234763582	0.699489021	0.880908325	0.770409054	1.622809562	0.879844786
k__Viridiplantae|p__Streptophyta|o__Rosales|f__Cannabaceae|g__Cannabis	0.810794622	0.612658768	0.738792888	0.780244157	1.605533859	1.125959043	1.348610332	0.938594838	1.350749846	1.386939652	0.938614422	1.393952391	0.984329475	1.423800573	1.086229136	1.415119809	1.18451502	0.838725138	0.872155444	1.168018047	3.074398818	0.893819081	1.67488783	1.099106348	1.503755343	1.234763582	0.699489021	0.880908325	0.770409054	1.622809562	0.879844786
k__Viridiplantae|p__Streptophyta|o__Rosales|f__Cannabaceae|g__Cannabis|s__Cannabis_sativa	0.810794622	0.612658768	0.738792888	0.780244157	1.605533859	1.125959043	1.348610332	0.938594838	1.350749846	1.386939652	0.938614422	1.393952391	0.984329475	1.423800573	1.086229136	1.415119809	1.18451502	0.838725138	0.872155444	1.168018047	3.074398818	0.893819081	1.67488783	1.099106348	1.503755343	1.234763582	0.699489021	0.880908325	0.770409054	1.622809562	0.879844786
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Phaseolus	0.895195674	0.69591205	1.264713248	0.674767202	1.481311314	1.145411923	1.647211386	0.744895903	1.148736561	1.846501004	0.720547558	0.814926013	0.736840921	1.601182546	0.980758227	1.732326661	1.206898419	0.66648694	0.710425204	1.047865036	1.36309979	0.775707274	0.659086475	1.310512424	2.420694133	1.761265258	0.780278967	0.71247226	0.889331257	1.907993529	0.735083999
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Phaseolus|s__Phaseolus_vulgaris	0.895195674	0.69591205	1.264713248	0.674767202	1.481311314	1.145411923	1.647211386	0.744895903	1.148736561	1.846501004	0.720547558	0.814926013	0.736840921	1.601182546	0.980758227	1.732326661	1.206898419	0.66648694	0.710425204	1.047865036	1.36309979	0.775707274	0.659086475	1.310512424	2.420694133	1.761265258	0.780278967	0.71247226	0.889331257	1.907993529	0.735083999
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Brachypodium	1.879148584	2.18806703	0.275482094	0.967303035	0.228875786	1.273009624	0.582698628	1.941539322	0.89878792	0.47056881	2.015776918	0.128672528	2.029031157	0.556599814	1.543027282	0.275018197	1.21123069	1.986979791	1.817409301	1.830494344	0.907248335	1.731375444	1.823983502	0.894473476	0.287036431	0.832306804	1.601643419	1.899516207	1.090335632	0.505919581	2.023643009
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Brachypodium|s__Brachypodium_distachyon	1.879148584	2.18806703	0.275482094	0.967303035	0.228875786	1.273009624	0.582698628	1.941539322	0.89878792	0.47056881	2.015776918	0.128672528	2.029031157	0.556599814	1.543027282	0.275018197	1.21123069	1.986979791	1.817409301	1.830494344	0.907248335	1.731375444	1.823983502	0.894473476	0.287036431	0.832306804	1.601643419	1.899516207	1.090335632	0.505919581	2.023643009
k__Viridiplantae|p__Streptophyta|c__Bryopsida	0.653972022	0.444017505	0.788880541	0.621805823	1.927151135	1.018473641	1.428379471	0.718896046	1.189824009	1.728170836	0.682495622	0.664808063	0.765339603	1.435115061	0.985607464	1.44197368	0.886310386	0.644520329	0.657428855	0.839436343	1.073552449	0.638043175	1.205306134	1.514324301	1.922072003	1.488883337	0.534456567	0.606123942	1.995824797	1.123334816	0.648227526
k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	0.653972022	0.444017505	0.788880541	0.621805823	1.927151135	1.018473641	1.428379471	0.718896046	1.189824009	1.728170836	0.682495622	0.664808063	0.765339603	1.435115061	0.985607464	1.44197368	0.886310386	0.644520329	0.657428855	0.839436343	1.073552449	0.638043175	1.205306134	1.514324301	1.922072003	1.488883337	0.534456567	0.606123942	1.995824797	1.123334816	0.648227526
k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae	0.653972022	0.444017505	0.788880541	0.621805823	1.927151135	1.018473641	1.428379471	0.718896046	1.189824009	1.728170836	0.682495622	0.664808063	0.765339603	1.435115061	0.985607464	1.44197368	0.886310386	0.644520329	0.657428855	0.839436343	1.073552449	0.638043175	1.205306134	1.514324301	1.922072003	1.488883337	0.534456567	0.606123942	1.995824797	1.123334816	0.648227526
k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae|g__Physcomitrella	0.653972022	0.444017505	0.788880541	0.621805823	1.927151135	1.018473641	1.428379471	0.718896046	1.189824009	1.728170836	0.682495622	0.664808063	0.765339603	1.435115061	0.985607464	1.44197368	0.886310386	0.644520329	0.657428855	0.839436343	1.073552449	0.638043175	1.205306134	1.514324301	1.922072003	1.488883337	0.534456567	0.606123942	1.995824797	1.123334816	0.648227526
k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae|g__Physcomitrella|s__Physcomitrella_patens	0.653972022	0.444017505	0.788880541	0.621805823	1.927151135	1.018473641	1.428379471	0.718896046	1.189824009	1.728170836	0.682495622	0.664808063	0.765339603	1.435115061	0.985607464	1.44197368	0.886310386	0.644520329	0.657428855	0.839436343	1.073552449	0.638043175	1.205306134	1.514324301	1.922072003	1.488883337	0.534456567	0.606123942	1.995824797	1.123334816	0.648227526
k__Viridiplantae|p__Streptophyta|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium_raimondii	1.146765262	0.589177073	0.313047834	0.456858766	0.919757341	1.049136655	0.876394094	1.138793737	1.030610149	0.927378299	1.102530454	0.428908428	1.073200364	0.975235871	1.159937542	1.171059158	1.009419079	1.050403387	1.017895405	1.135323351	1.331175339	1.106899166	1.64144581	1.277262148	1.255084833	1.17635911	1.100331446	1.035205597	0.713533217	1.028595735	1.103942005
k__Viridiplantae|p__Streptophyta|o__Myrtales	1.640647547	0.858149215	0.313047834	0.941178988	0.82871753	1.286527727	0.794918663	1.931139379	0.987810724	0.685214233	1.936745974	0.3002359	1.919911204	0.718287497	1.584973184	0.645860796	1.312317007	1.885134595	1.70502049	1.656395083	1.224265552	1.747336499	1.286124349	1.034453033	0.675213255	1.036119462	1.571606132	1.825133857	1.226708376	0.6912086	2.145843673
k__Viridiplantae|p__Streptophyta|o__Myrtales|f__Lythraceae	1.640647547	0.858149215	0.313047834	0.941178988	0.82871753	1.286527727	0.794918663	1.931139379	0.987810724	0.685214233	1.936745974	0.3002359	1.919911204	0.718287497	1.584973184	0.645860796	1.312317007	1.885134595	1.70502049	1.656395083	1.224265552	1.747336499	1.286124349	1.034453033	0.675213255	1.036119462	1.571606132	1.825133857	1.226708376	0.6912086	2.145843673
k__Viridiplantae|p__Streptophyta|o__Myrtales|f__Lythraceae|g__Punica	1.640647547	0.858149215	0.313047834	0.941178988	0.82871753	1.286527727	0.794918663	1.931139379	0.987810724	0.685214233	1.936745974	0.3002359	1.919911204	0.718287497	1.584973184	0.645860796	1.312317007	1.885134595	1.70502049	1.656395083	1.224265552	1.747336499	1.286124349	1.034453033	0.675213255	1.036119462	1.571606132	1.825133857	1.226708376	0.6912086	2.145843673
k__Viridiplantae|p__Streptophyta|o__Myrtales|f__Lythraceae|g__Punica|s__Punica_granatum	1.640647547	0.858149215	0.313047834	0.941178988	0.82871753	1.286527727	0.794918663	1.931139379	0.987810724	0.685214233	1.936745974	0.3002359	1.919911204	0.718287497	1.584973184	0.645860796	1.312317007	1.885134595	1.70502049	1.656395083	1.224265552	1.747336499	1.286124349	1.034453033	0.675213255	1.036119462	1.571606132	1.825133857	1.226708376	0.6912086	2.145843673
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis_hypogaea	1.911275436	0.958480094	0.500876534	0.701872015	1.011647991	1.620853487	0.662254481	0.840445378	1.224063549	0.897107791	0.774210544	0.428908428	0.762714724	0.581418691	1.395125547	0.848020769	1.565032799	2.0428948	1.886395928	1.314326816	0.439518015	1.986353298	1.130061589	1.202551651	0.704813676	1.128636281	1.951733186	1.902589858	1.012131357	0.762746273	1.93753854
k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_lycopersicum	0.576105245	0.629736365	1.014274981	1.701718659	1.516195727	1.02111132	1.658088996	0.54729699	1.09224132	1.678637277	0.56248567	1.329616127	0.593972529	1.700823038	0.816126623	1.636502258	1.21267478	0.504233565	0.57884806	0.647763683	1.229462556	0.600135669	0.452860686	1.290398059	1.7147342	1.373452669	0.46816738	0.498546163	0.724520595	2.049135425	0.491810675
