	G12Plate.2	D2Plate.2	H1Plate.2	B11Plate.2	A10Plate.1	H2Plate.2	D4Plate.2	B8Plate.2	B7Plate.2	E9Plate.2	A12Plate.2	E10Plate.2	C3Plate.3	F7Plate.2	G10Plate.2	H3Plate.2	G11Plate.2	B9Plate.2	G6Plate.3	F1Plate.3	G8Plate.3	C1Plate.3	A5Plate.3	G7Plate.3	G5Plate.3	F3Plate.3	E1Plate.3	F8Plate.3	F4Plate.3	F2Plate.3	D5Plate.4	F11Plate.3	E2Plate.3	F9Plate.3	E10Plate.3	B1Plate.3	E4Plate.4	D9Plate.4	A7Plate.4	H6Plate.4	B7Plate.7	B5Plate.4	B7Plate.4	B4Plate.4	H5Plate.4	B3Plate.4	D11Plate.4	E1Plate.4	A8Plate.4	G1Plate.4	A2Plate.7	B2Plate.7	E2Plate.1	A4Plate.7	B3Plate.7	F1Plate.1	F2Plate.1	F12Plate.1	G1Plate.1	B1Plate.2	A7Plate.1	B12Plate.2	F1Plate.2	B10Plate.2	D1Plate.2	C6Plate.4	C7Plate.4	G5Plate.2	E6Plate.3	A8Plate.2	G4Plate.2	C2Plate.2	C1Plate.2	A9Plate.2	D11Plate.2	H7Plate.2	D11Plate.3	D12Plate.4	D8Plate.1	A11Plate.7	B12Plate.7	A5Plate.1	H8Plate.2	F10Plate.2	A9Plate.4	F6Plate.4	C7Plate.7	C4Plate.1	A10Plate.4	D9Plate.1	F2Plate.2	A8Plate.1
Tropinone	-0.2497	0.96097	0.13812	0.14362	0.4122	-0.58239	0.12203	1.3663	0.9167	-0.028255	0.58829	-0.31274	-0.14694	0.3972	0.5488	1.9375	1.6842	0.51655	0.55199	-0.37826	-1.2785	-0.89659	0.21784	2.1933	0.074934	-0.23129	0.95984	-1.0818	-0.26311	0.20993	-0.2152	0.19017	1.0583	0.49452	0.19683	-0.017528	1.5015	0.082678	1.8179	0.4663	0.34213	-0.14518	-0.34441	0.70613	-0.41429	1.148	0.84398	-0.14256	-0.44585	1.0203	0.30192	0.57718	-0.78274	1.3543	0.78491	0.61109	0.13172	-0.25855	-0.048003	0.38102	-0.0046163	0.98423	1.1544	0.25208	1.7718	2.1403	1.5737	0.2382	0.56774	1.1759	0.97225	0.48897	-0.27381	-0.17275	-0.48752	-0.37717	6.1557	0.22279	0.41476	-0.25078	0.31279	10.85	0.38233	0.74575	-0.32544	-0.15016	0.55424	2.7132	0.32889	0.14938	0.4956	0.59935
2-Methoxybenzenethiol	-0.23277	-0.55385	-0.49818	-0.4448	-0.21118	-0.36131	-0.8802	-0.63723	-0.85651	-0.89416	-0.71857	0.15121	-0.36727	-0.63254	-0.60351	-0.63829	-0.80634	-0.37517	-1.2288	-0.23602	-0.30035	0.15728	-0.090761	-0.93654	-0.84066	-0.25684	-0.89616	-0.51983	0.31961	-0.58813	-0.19075	-0.37125	0.19274	-0.42829	-0.66467	-0.70234	-0.86894	-0.62742	-0.76551	-0.84725	-0.28297	-0.06217	0.29508	-0.65504	2.5924	-0.60505	-1.21	-0.21784	-0.66944	-0.58354	-0.15474	-0.11946	-0.76083	-0.97384	-0.61929	-0.48433	0.65938	1.7177	0.91649	-0.44886	-0.52352	-0.62795	-0.22545	-0.12684	-1.2573	-0.64423	-0.56668	0.17981	-0.38869	-0.64062	-0.24513	-0.50502	0.40803	-0.24029	-0.37084	-0.51207	-0.62041	-0.19549	-0.5058	-0.34663	0.14699	-0.60295	-0.46333	-0.55693	1.0253	3.9734	2.8124	-0.70965	-0.68034	2.9183	0.85988	0.089118
Carbamoyl_phosphate	1.1156	-0.44593	-0.47457	-0.45934	-0.70981	-0.091932	-0.37468	-0.17899	-0.72766	-0.028255	-0.42274	-0.21469	-0.074091	-0.58458	-0.60135	-0.52794	-0.15047	-0.75925	0.023437	0.62354	1.8967	1.0186	-0.49279	4.2245	-0.94106	0.12018	-0.43256	0.82826	-0.15595	1.3567	3.311	-0.44714	-0.57242	-0.42749	-0.12137	-0.2965	-0.65515	-0.41133	-0.12756	-0.55875	-0.35587	0.013613	-0.60816	-0.52034	-0.65244	-0.62844	-0.39466	-0.11928	-0.51543	-0.48426	-0.522	-0.83467	-0.56164	-0.26259	-1.0461	-0.53806	-0.59696	-0.4119	-0.35852	0.26594	-0.097471	-0.62496	-0.65156	-0.71513	-0.79859	-0.49492	-0.81714	-0.74574	-0.40252	-0.93864	-1.032	-0.46403	-0.17009	-0.25015	-0.36324	-0.50357	-0.31321	-0.19108	-0.23645	-0.2158	-0.33785	-0.39221	3.2303	1.8002	-0.71009	-0.40555	-0.73442	-0.63361	-0.56482	-0.54015	-0.71493	-0.27013
5-Hydroxymethyl-2-furanoate;_Ethanolamine_phosphate	0.5612	-0.30602	-0.39768	-0.22299	-0.2934	-0.084038	-0.36203	-0.33773	-0.55937	-0.199	-0.13559	-0.35958	-0.11179	-0.19607	-0.39235	-0.10368	-0.19295	-0.29154	0.023437	0.44289	0.76049	0.4693	-0.39379	-0.24312	-0.0050797	-0.32892	-0.15035	0.85922	-0.43033	-0.29748	-0.21877	0.23166	-0.39099	-0.25627	-0.23114	-0.40663	-0.5963	-0.25484	-0.34979	-0.094272	-0.1153	-0.20584	-0.38535	-0.45683	-0.38932	-0.50947	0.14578	0.058321	0.4403	-0.42454	-0.26976	-0.016824	1.322	-0.23368	-0.66739	-0.43139	-0.17511	-0.32853	-0.23245	-0.43773	-0.070762	-0.29227	-0.45033	0.65822	-0.076566	-0.12498	-0.33702	-0.4173	-0.35491	-0.46478	-0.46633	-0.60232	0.041528	-0.31152	-0.016259	-0.15028	-0.034218	-0.23902	-0.38719	-0.058732	-0.55588	-0.45366	-0.15523	-0.25474	-0.45399	-0.44428	-0.22528	-0.65502	-0.70114	-0.89587	-0.57002	-0.58224
Alloxan	-0.60784	0.52207	0.98674	-0.13158	-0.86441	-0.11536	0.048983	-0.25893	-0.25774	0.62484	0.1536	-0.23725	-0.31646	0.95386	-0.41759	-0.34769	0.015114	0.039535	-0.3415	-0.00192	0.52671	0.12907	-0.27871	0.47377	-0.3417	1.5431	-0.037744	0.31104	0.25659	-0.75484	-0.20611	-0.075635	-0.27187	-0.15266	-0.29947	3.6122	-0.40218	0.28687	-0.69782	0.25684	-0.41684	0.18515	-0.36279	0.71559	-0.52697	-0.26274	-0.16185	-0.28628	-0.77184	0.66207	0.12008	0.24933	1.2178	3.9998	-0.10146	-0.26338	-0.046465	-0.39823	-0.19132	1.5734	-0.0030915	0.23795	0.24035	0.52374	0.026653	-0.069633	-0.047738	-0.41778	-0.024805	-0.52562	-0.78538	-0.23455	-0.20537	-0.32453	-0.68148	-0.68113	-0.92874	-0.11089	-0.48778	-0.86218	-0.75505	-0.051133	-0.53874	-0.68928	-0.51336	-0.2997	-0.39074	-0.88431	-0.9362	-1.0052	-0.61206	3.3982
5-(2-Hydroxyethyl)-4-methylthiazole	-0.4717	-0.51748	-0.47255	-0.37766	-0.39878	-0.0040185	-0.6974	-0.33989	-0.73667	-0.61378	0.027483	-0.3957	-0.3788	-0.47351	-0.66725	-0.55277	-0.53936	-0.38905	-1.0672	1.2737	2.4548	1.7612	-0.39606	-0.71892	-0.78057	-0.65636	-0.60783	1.7452	-0.81322	-0.43923	-0.068937	-0.25805	-0.71977	-0.23656	-0.1821	-0.085406	-0.22702	-0.18521	-0.33117	0.1473	-0.54114	-0.19251	-0.53504	-0.62498	-0.77128	-0.7023	0.2664	0.051858	-0.52726	-0.43903	-0.50172	-0.96492	0.098316	-1.12	-1.0687	-0.69084	-0.71653	-0.47645	-0.37292	-0.73856	-0.47295	-0.95546	-0.83468	-0.21815	-1.249	-0.68944	-0.79587	-0.72232	-0.53276	-1.0456	-0.95735	-0.53177	-0.14368	-0.32399	-0.29378	-0.14857	-0.70901	-0.13329	-0.66019	-0.17532	-1.0808	-0.48684	-0.47815	-0.24235	-1.1838	-0.55116	-0.32968	-0.72154	-0.6114	-0.68352	-0.88318	-0.79025
2-Hydroxymethylclavam	-0.22715	0.00043011	0.54587	-0.0004368	-0.06228	-0.87207	1.0575	0.69328	0.72099	1.2351	1.5863	-0.32459	-0.33102	0.80786	0.97718	0.024826	1.5746	0.9568	1.3032	-0.30126	-0.52475	-0.15394	1.1459	1.1831	0.52566	0.074237	1.7434	-0.5749	0.27883	0.13034	-0.25458	0.062467	1.4487	1.0653	0.15689	0.29501	1.2215	0.19686	1.9685	0.24644	0.7024	-0.18978	0.16184	0.99064	-0.27075	1.4885	-0.10521	-0.29282	-0.51499	-0.046501	0.14966	0.19278	0.50594	0.16398	0.28255	0.47506	-0.031842	-0.12208	0.18175	0.37102	-0.053273	0.75506	2.5291	1.0874	-0.14822	-0.053675	0.6377	0.59135	0.54542	0.8233	1.0667	1.3356	-0.34136	-0.09183	-0.62425	-0.49724	0.82463	0.017585	0.019463	-0.16404	0.43725	0.78661	-0.43055	-0.069863	-0.078318	0.11536	0.85014	-0.0050316	-0.26913	-0.35143	0.0028828	0.39036
(E)-4-(Trimethylammonio)but-2-enoate	-0.077891	-0.53582	-0.49219	-0.45695	-0.30616	-0.56451	-0.96753	-0.53726	-0.62789	-0.72022	-0.75473	0.30661	-0.40574	-0.35925	-0.68951	-0.58376	-0.681	-0.4764	-1.0672	-0.36302	0.24756	0.093403	-0.38823	-0.45968	0.43702	0.4779	-0.31267	0.41581	-0.24955	-0.57034	-0.19198	-0.31576	-0.23645	-0.40271	-0.60272	-0.68773	-0.30755	-0.26052	-0.57137	-0.65091	-0.54625	-0.18871	-0.4341	-0.50007	0.44679	-0.6886	-0.43845	-0.23216	-0.65915	-0.57426	-0.50703	-0.46918	-0.44474	-0.39602	-0.41845	-0.41977	-0.47123	0.23446	0.13942	-0.72798	-0.55471	-0.62496	-0.5083	-0.6455	-1.0654	-0.68496	-0.50934	-0.35095	-0.39994	-0.71454	-0.40311	-0.44516	-0.26453	-0.39018	-0.48752	-0.66451	-0.92981	-0.14117	-0.48126	-0.33774	-0.69707	-0.55692	-0.47482	-0.52437	0.1549	0.79383	0.38514	-0.92897	-0.14818	0.25283	-0.65228	-0.57431
2-Naphthol	0.24486	-0.46714	-0.47221	-0.40959	-0.36476	-0.88012	-0.4019	-0.44002	0.4515	-0.72022	-0.7903	-0.48073	-0.61958	-0.6189	-0.79596	-0.48577	-0.61652	-0.31622	-1.2288	-0.58011	-0.9624	-1.0526	-0.88639	-0.87299	0.5024	-0.42716	-0.854	-1.3951	-0.59896	-0.36247	-0.25378	-0.13143	-0.89647	-0.44363	-0.41094	-0.52354	0.39404	-0.39073	-0.090212	0.024864	-0.38025	-0.21471	0.58869	-0.36139	-0.49018	-0.44142	-0.15869	0.89917	0.12429	-0.25916	-0.30312	0.96937	-0.75186	0.42921	2.6529	-0.18396	-0.13371	-0.43176	-0.3606	-0.5054	-0.51807	-0.17982	-0.24263	-0.84702	0.50382	-0.43007	-0.56816	-0.40329	-0.16834	0.21259	1.9575	-0.31998	-0.20023	0.4526	-0.51825	-0.45365	-0.46756	-0.16804	0.05725	-0.17728	-0.012016	-0.3973	-0.33784	0.24333	-0.36192	-0.43005	-0.7549	-0.085674	1.2208	-0.42968	0.11422	-0.25676
4-Acetamidobutanoate	-0.2497	-0.45008	-0.45961	-0.41689	-0.27763	-0.85982	-0.14737	-0.45134	0.51472	-0.81066	-0.60001	-0.48183	-0.53976	-0.70601	-0.77132	-0.38131	-0.69921	-0.27354	-1.0672	-0.52296	-0.98525	0.17226	-0.4827	-0.94722	0.37686	-0.36506	-0.79693	-1.5081	-0.68235	-0.25201	-0.24216	-0.18465	-0.7036	-0.41369	-0.41426	-0.43978	0.37826	-0.43407	-0.17523	0.45795	-0.51162	-0.21904	0.4252	-0.40755	-0.38274	-0.43737	-0.14743	1.0024	-0.047027	-0.12782	-0.044035	0.84864	-0.3406	1.0673	2.2801	-0.077264	-0.1873	-0.42107	-0.32325	-0.59789	-0.52237	0.10907	-0.38761	-0.81583	0.41955	-0.46402	-0.55629	-0.23187	-0.23358	0.43537	1.7855	-0.35101	-0.25119	0.15946	-0.54714	-0.5181	-0.50609	-0.15495	0.037456	-0.4754	0.02119	-0.36123	-0.43306	0.26298	-0.4173	-0.43441	-0.75245	-0.20787	1.0684	-0.52257	-0.026651	-0.25965
"Indole-5,6-quinone"	-0.42461	0.56498	-0.30126	-0.32125	0.40983	0.20653	-0.39215	0.72874	-0.18675	0.15975	-0.4425	-0.29741	-0.5888	-0.57774	-0.3477	1.2014	-0.10709	-0.24966	1.3032	-0.1182	0.16256	-0.19321	-0.4917	-0.36819	-0.87797	-0.48567	-0.045751	-0.67126	-0.27269	-0.069936	-0.0050757	-0.28038	-0.57116	-0.33773	1.2933	-0.028674	-0.79491	-0.41168	0.19354	-0.63506	-0.3273	-0.18591	-0.9633	-0.5728	-0.57401	-0.31524	0.1908	-0.18159	1.8108	0.47458	-0.3717	-0.084463	-0.95163	-0.19428	-0.18791	-0.40202	-0.53039	-0.32645	-0.29431	-0.51129	0.04676	-0.070639	-0.38048	-0.81785	0.58086	0.12384	-0.5184	-0.52015	-0.26065	-0.40113	-0.43307	-0.50047	-0.27966	-0.27217	1.0863	3.0875	0.31354	-0.15143	0.14678	0.54267	0.1706	0.40735	0.011733	1.491	-0.80567	-0.37078	-0.57734	2.1803	0.44501	-0.19689	-0.088594	-0.38161
Indole-3-carbinol	-0.45449	-0.48509	-0.40657	-0.42123	-0.2396	-0.0035594	-0.62129	-0.45443	-0.80507	-0.199	-0.56231	-0.16532	0.6648	-0.63967	-0.614	-0.52944	-0.50101	-0.8539	-0.3415	0.23149	0.59251	0.11462	-0.72255	0.7915	-0.93123	-0.43927	-0.69478	0.74809	-0.020083	-0.46083	-0.19881	-0.44253	-0.44933	-0.3623	-0.43395	-0.27916	-1.0199	-0.21579	-0.51504	-0.64963	-0.42056	0.082929	0.59238	-0.66565	0.30243	-0.74732	-0.8189	-0.21613	-0.76265	-0.54317	-0.64945	-0.73392	0.25253	-0.86369	-0.46108	-0.60352	-0.42974	-0.09694	-0.10871	0.4755	-0.42169	-0.5143	-0.56812	-0.49555	-0.87698	-0.75973	-0.73185	-0.55109	5.5147	4.9707	0.73839	0.28627	-0.3251	-0.4343	-0.69653	-0.68225	-0.86476	-0.29341	-0.69428	-1.1136	-1.0005	-0.72193	-0.64755	-0.91684	0.76785	-0.21428	-0.40943	-0.66818	-0.11432	-0.47862	-0.45309	0.53009
N1-Methyl-2-pyridone-5-carboxamide	-0.22125	-0.52836	-0.40925	-0.37477	-0.25833	0.17657	-0.55868	-0.4716	-0.97054	-0.36162	-0.73234	-0.26567	0.44347	-0.39939	-0.32833	-0.49267	-0.54057	-0.40117	-0.3415	-0.24517	0.028745	-0.55803	-0.67654	1.4477	-0.74088	-0.41563	-0.70121	0.85922	0.90255	-0.33828	-0.20242	-0.69386	0.18208	-0.26915	-0.53963	-0.2211	-1.1406	-0.36071	-0.77934	-0.3631	-0.29807	-0.022729	6.5177	-0.62199	2.9889	-0.69527	-0.66813	-0.44245	-0.78918	-0.63719	-0.58512	-0.94809	-0.002033	-0.97784	1.3924	-0.64709	-0.5872	1.908	1.1823	0.90844	-0.4274	-0.29075	-0.43392	0.080477	-0.91479	-0.7174	-0.96334	-0.38661	9.3332	7.1978	2.3022	0.26411	-0.36242	-0.48017	-0.72909	-0.70173	-0.47861	-0.32451	-0.72536	-1.2326	-1.1138	-0.78819	-0.79887	-0.9227	1.9575	3.0028	2.1775	0.034897	0.089027	2.5139	-0.6093	0.71322
Ribitol	-0.66791	0.041493	0.15268	-0.26605	0.4103	0.051533	0.15592	-0.16519	0.5784	0.8845	0.791	-0.044846	0.0073025	-0.050775	1.1015	-0.10831	-0.21305	0.070694	0.023437	0.0054059	-0.25693	0.26222	0.21928	0.73825	-0.39902	0.38699	0.85912	-0.5411	-0.30053	1.2756	-0.12682	-0.16549	0.53577	0.058664	-0.31229	-0.27414	-0.014641	-0.28124	-0.057362	0.2978	0.40874	-0.033652	0.50155	-0.36758	-0.30764	0.066669	0.61062	-0.16202	-0.54634	-0.17252	1.182	-0.30566	0.37395	-0.18044	-0.24435	-0.019588	-0.16213	-0.25706	-0.19386	-0.16208	0.28172	0.28571	-0.025995	0.18319	0.089	-0.053675	0.28123	0.038088	-0.085076	-0.033549	-0.2366	-0.24587	-0.29502	-0.28608	-0.44047	-0.34742	0.92941	-0.1235	-0.18359	-0.38515	-0.15963	-0.13487	0.3327	-0.26646	-0.10995	-0.35139	-0.30092	-0.000406	-0.24397	-0.61437	0.14462	-0.10355
Hydroxytyrosol	-0.15638	-0.52842	-0.5024	-0.51615	-0.65682	-0.59671	-1.0857	-0.55643	-0.86752	-1.5155	-1.0729	0.43088	-0.42381	-0.23651	-0.75083	-0.74676	-0.78742	-0.48458	-1.5713	-0.68028	-0.84543	-0.82246	-0.65803	0.057529	0.28685	-0.44994	-0.60657	-0.52442	-0.1954	-1.0075	-0.21851	-0.86979	-0.68165	-0.38683	-0.78077	-0.59725	2.4921	-0.3461	-0.52337	-0.12519	-0.49214	-0.18218	-0.19332	-0.53076	1.6993	-0.43596	-1.3144	-0.24799	-0.76654	-0.68799	-0.6182	-1.1336	-1.6418	-0.92351	-0.71523	-0.16573	-0.94672	0.99331	0.65506	-0.61651	-0.37662	-0.72673	-0.056257	-0.57554	-1.1515	-0.77023	-0.99331	0.041184	-0.42178	-0.8944	-0.7567	-0.4469	-0.19533	-0.385	-0.34045	-0.59266	-0.60952	-0.26112	-0.73175	-0.3451	-0.72989	-0.23343	-0.76705	-0.75457	0.45651	1.8611	1.2715	-0.99819	3.8728	3.8033	-0.64809	-0.070987
"5-Acetyl-2,4-dimethylthiazole"	-0.22715	-0.34955	-0.40153	-0.33638	-0.40122	-0.036672	-0.94572	-0.22622	-0.56962	-0.36162	-0.30488	-0.39496	-0.25411	-0.4712	-0.34374	-0.076002	-0.49459	-0.43672	-0.87949	0.48657	0.53839	0.84356	0.029491	-0.79909	-0.26019	-0.4274	-0.38937	1.0698	-0.65379	-0.60645	-0.2318	-0.25805	-0.56631	-0.2188	-0.36653	-0.20836	-0.48086	3.3026	-0.38177	-0.60907	-0.52035	-0.19917	-0.52352	-0.56533	-0.31185	-0.11701	-0.10852	-0.083696	-0.35991	-0.43423	-0.60427	-0.6305	-0.30747	-0.85296	-1.0809	-0.4143	-0.57127	-0.41403	-0.32882	-0.63257	-0.3033	-0.72964	-0.21594	-0.39743	-0.82466	-0.29873	-0.75676	-0.40988	-0.43164	-0.7377	-0.77765	-0.35163	-0.13049	-0.32029	-0.49831	-0.33545	-0.2455	-0.19243	-0.41357	-0.45869	-0.79561	-0.53044	0.2574	-0.12827	-0.90949	-0.46659	-0.56874	-0.67935	-0.036278	-0.51936	-0.70276	-0.53263
3-Methylcrotonylglycine	0.21541	-0.47018	-0.44977	-0.20464	-0.11815	1.2465	-0.46749	-0.33551	-0.10712	-2.1232	-0.69754	-0.29628	-0.51737	-0.46774	-0.50761	-0.22614	-0.019758	0.17393	-1.861	0.10548	-0.68614	-0.26472	-0.26385	-0.49564	1.0291	0.077374	-0.57784	-0.7313	-0.17627	-0.35152	-0.20903	-0.065342	0.0018583	-0.34321	-0.31548	-0.46011	-0.35727	-0.016835	-0.12978	-0.1575	-0.46143	-0.15088	-0.45001	-0.30433	-0.73139	-0.5224	0.21067	-0.039001	-0.273	-0.28742	-0.36702	0.53255	-0.13716	-0.22613	-0.026343	-0.19784	-0.15585	-0.48167	-0.35258	-0.597	-0.52228	-0.78068	-0.10652	-0.57182	0.1922	-0.28951	-0.50104	-0.25204	-0.34771	-0.2149	0.025907	-0.11456	-0.14703	-0.068185	-0.53993	-0.53936	-0.58692	-0.043747	-0.1983	-0.40844	0.01089	-0.24538	0.13086	-0.08113	-0.74644	-0.50631	-0.73256	-0.28628	1.0211	-0.26922	0.26662	-0.25275
Isopropylmaleate	-0.53432	-0.52491	-0.48084	-0.41818	2.1653	-0.13656	-0.83894	-0.4907	-0.78016	-0.199	-0.55603	-0.50168	-0.38114	-0.74389	-0.69901	-0.50746	-0.4461	-0.53311	-0.3415	0.89421	-0.054454	0.28811	-0.755	-0.39306	-0.7229	-0.81387	-0.71164	-0.085336	-0.50151	-0.66489	-0.25728	-0.27373	-0.7996	-0.3878	-0.5259	-0.53717	-0.39003	-0.61812	-0.55704	-0.83166	-0.54252	-0.18355	-0.094512	-0.58521	0.41204	-0.44058	-0.57051	-0.046017	-0.29929	-0.53204	-0.62359	-0.15791	0.051663	-0.81798	0.09014	-0.56698	-0.30251	-0.050208	-0.088903	-0.19405	-0.26836	-0.45973	-0.20431	-0.32408	-0.5673	-0.65177	-0.71762	-0.47587	-0.30274	-0.55747	-0.50328	-0.49223	-0.36704	-0.21118	-0.53211	-0.5846	-0.50255	-0.16136	-0.28596	-0.42512	-0.4828	-0.45535	-0.21359	-0.19052	0.58042	-0.18523	-0.60106	2.5835	-0.11298	-0.29161	0.088819	-0.31156
2-Methoxynaphthalene	0.40722	-0.44128	-0.49215	-0.39021	0.58373	-0.26596	-0.68915	-0.54749	-0.97294	0.36996	0.67934	-0.089821	2.1632	-0.35451	-0.39736	-0.67894	0.20766	-0.56367	0.55199	0.045734	1.044	-1.0265	-0.91244	-0.84047	-1.0058	-0.82812	-0.49593	0.4914	1.0199	1.8146	-0.11461	-0.78632	0.091273	-0.17398	-0.65796	-0.22618	-0.99468	-0.68538	-0.18799	-0.6291	0.49063	0.16615	0.50274	-0.67424	4.1491	-0.45353	-0.83212	-0.47041	-0.58807	-0.30583	-0.52906	-0.71542	-0.26787	-0.0039626	-0.2586	-0.47853	-0.80922	3.7022	1.7394	1.2495	-0.10503	-0.20818	-0.18827	0.59529	-0.42096	-0.23609	-0.75156	0.20279	0.42362	-0.49507	-0.39824	-0.27944	-0.38835	-0.41583	-0.51825	0.074818	0.19538	-0.25522	-0.5999	-0.86474	-0.72466	-0.16649	2.2904	-0.022739	2.5656	5.2323	3.8923	1.2495	-0.27159	2.8104	-0.30672	0.26492
L-2-Amino-4-methylenepentanedioic_acid	0.081019	-0.4144	-0.4647	-0.49269	0.11327	-0.34018	-0.67214	-0.49887	-0.99771	-0.72022	-0.71144	0.052165	-0.61218	-0.45554	-0.48316	-0.56175	-0.613	-0.94065	0.55199	-0.22728	0.16772	-0.37813	-0.87443	0.46565	-0.68148	-0.73396	-0.56632	-0.42624	-0.34688	-1.047	-0.24581	-0.7114	-0.98326	-0.53568	-0.58081	-0.61948	0.10592	-0.52904	-0.82951	-0.46507	-0.53858	-0.17386	-0.69825	-0.58836	-0.27835	-0.74002	-0.84194	-0.25708	-0.33406	-0.63356	-0.76257	-1.2077	-1.1436	-0.84541	-1.1929	-0.34251	-0.87008	-0.069676	-0.13301	-0.60568	-0.41817	-0.87577	-0.72656	-0.90363	-1.0265	-0.55561	-0.87596	-0.47866	-0.34887	-0.84722	-1.0806	-0.54039	-0.33684	-0.5151	-0.43516	-0.62229	-0.83992	-0.31487	-0.69428	-0.7522	-0.98549	-0.62931	-0.22861	-0.76235	-0.69081	0.10802	-0.017964	-0.4442	0.14433	0.15146	-0.78891	-0.51785
Oxoadipate	-0.37604	-0.39876	-0.42239	-0.4483	-0.6823	-0.58447	-0.76845	-0.60998	-1.0211	-1.4672	-0.94124	-0.58347	-0.68117	-0.66408	-0.65604	-0.46772	-0.7357	-0.77196	-2.0029	0.14798	0.43883	0.32526	-0.65175	-1.2487	-1.1487	-0.84848	-0.95112	-0.59746	-0.683	-0.71796	-0.25532	-0.27501	-0.74861	-0.52081	-0.48935	-0.6826	-1.2113	-0.75673	-0.99532	-0.81949	-0.63589	-0.179	-0.73578	-0.69121	-0.089228	-0.9111	-0.84503	-0.43013	-0.53582	-0.58307	-0.77318	-1.0582	-0.12865	-0.85771	-1.0315	-0.68719	-0.67654	-0.26132	-0.20009	-0.2755	-0.45597	-0.7237	-0.80279	-0.79814	-0.9654	-0.66211	-0.75579	-0.59882	-0.41472	-0.77775	-0.94271	-0.56212	-0.27114	-0.47176	-0.69288	-0.66227	-0.8887	-0.29511	-0.55783	-1.2036	-0.90188	-0.74459	-0.48378	-0.7235	-0.67334	-0.34983	-0.52646	-0.6177	-1.2958	-1.1697	-1.0401	-0.70276
Aminoadipate	-0.4386	-0.47101	-0.45439	-0.53933	-0.81207	-0.22887	-0.73279	-0.6218	-1.1017	-1.0465	-0.66132	-0.6547	-0.53712	-0.65814	-0.79323	-0.58393	-0.63568	-0.7451	-0.87949	0.5701	0.50918	1.0687	-0.74495	-1.2171	-1.1905	-1.0319	-0.85788	-0.045812	-0.70138	-0.67887	-0.24661	-0.6093	-0.94081	-0.51476	-0.52183	-0.97082	-1.276	-0.8484	-0.95101	-0.83697	-0.76926	-0.20284	-0.66395	-0.78454	-0.062081	-0.95948	-0.93201	-0.41333	-0.70779	-0.65221	-0.80123	-1.3065	-0.50167	-1.1891	-1.3408	-0.77668	-0.75476	-0.24758	-0.22631	-0.23117	-0.54953	-0.67343	-0.87534	-0.42307	-1.2859	-0.7633	-0.96689	-0.53452	-0.44533	-1.0685	-0.97472	-0.64557	-0.21654	-0.49558	-0.73426	-0.69951	-1.1045	-0.31411	-0.73824	-1.2249	-1.1064	-0.79525	-0.7557	-0.96506	-0.83557	-0.32263	-0.4234	-0.42254	-1.4883	-1.3132	-1.2183	-0.82281
(R)-2-Methylimino-1-phenylpropan-1-ol	-0.28986	0.64183	-0.11326	-0.24617	0.25723	0.11265	0.08708	0.722	-0.10901	0.8845	0.12923	-0.24508	-0.26394	1.7853	2.1748	0.35876	-0.034046	-0.13971	1.3032	-0.38681	1.2073	0.090289	-0.423	-0.1487	0.031488	-0.22007	1.02	-0.27064	-0.069243	-0.39706	-0.23333	0.084768	-0.13755	-0.094694	0.42454	0.012817	0.12861	0.049238	0.1127	0.13637	-0.24165	-0.15537	-0.030097	-0.24295	0.011128	0.42714	-0.14117	-0.17797	-0.071402	-0.17446	-0.40792	0.020102	0.61224	0.054694	-0.3699	0.19248	0.15991	0.07901	0.041879	-0.13326	0.22976	-0.067957	-0.095129	0.70737	0.20427	0.65392	-0.016565	0.13262	-0.13654	-0.13527	-0.077974	-0.15559	-0.22644	-0.1583	-0.20065	-0.21976	0.53198	0.22646	-0.13346	-0.18702	-0.11899	-0.1631	-0.40779	-0.24904	0.065976	0.15194	0.35597	-0.25446	0.9033	0.41361	0.15069	0.086338
Methyl-His	-0.36573	-0.5172	-0.48783	-0.42695	-0.024847	-0.77289	-0.71488	-0.42805	2.0369	0.15975	-0.38683	-0.27568	-0.37646	-0.62681	-0.52104	-0.46333	-0.059075	0.023124	0.55199	0.46629	1.5481	0.51523	0.11671	-0.13368	-0.64226	-0.5641	-0.51502	-0.36792	-0.66833	-0.19745	-0.043027	-0.1242	0.021079	-0.33282	-0.2607	-0.2491	-0.38286	-0.29365	-0.38592	-0.58079	1.1442	-0.18142	-0.10156	-0.37959	-0.63708	-0.27781	-0.15229	-0.1298	-0.66967	-0.54654	-0.46001	-0.2544	-0.013261	-0.337	0.83735	-0.24321	-0.29647	-0.42399	-0.33932	-0.3457	-0.35315	-0.48183	-0.21594	-0.13365	-0.26797	-0.32069	-0.33473	-0.22874	-0.40461	-0.38412	-0.22529	-0.38489	0.33283	-0.22767	-0.35559	-0.53241	-0.5117	-0.20276	-0.26674	-0.32729	-0.17998	1.0556	-0.38179	0.015305	-0.63651	-0.50347	-0.1943	-0.58894	-0.61491	-0.73398	-0.47831	-0.2617
