	E11Plate.2	E7Plate.2	E12Plate.2	B1Plate.1	A7Plate.2	B3Plate.1	E2Plate.2	A11Plate.3	B5Plate.1	B6Plate.1	B7Plate.1	A1Plate.1	C2Plate.3	B8Plate.1	A12Plate.3	A3Plate.3	F1Plate.4	A5Plate.4	C2Plate.1	A3Plate.7	F2Plate.4	C5Plate.4	C9Plate.4	C6Plate.1	H8Plate.4	F5Plate.4	D4Plate.7	E3Plate.4	D2Plate.7	A4Plate.4	D3Plate.1	A10Plate.7	A9Plate.7	D3Plate.7	D12Plate.1	C6Plate.7	E1Plate.1	C5Plate.7	C3Plate.7	E7Plate.1	E8Plate.1	E12Plate.1	G2Plate.1	D3Plate.2	E8Plate.2	F4Plate.2	G3Plate.2	A5Plate.2	A6Plate.2	B4Plate.1	C7Plate.3	B11Plate.3	B10Plate.3	C6Plate.3	D9Plate.3	G9Plate.3	E9Plate.3	G10Plate.3	D10Plate.3	A2Plate.4	C7Plate.1	A1Plate.4	A3Plate.4	E11Plate.1	H11Plate.2	F3Plate.2	G12Plate.4	A4Plate.1	C5Plate.2	B6Plate.2	H12Plate.2	G2Plate.2	F11Plate.2	B2Plate.1	G7Plate.2	C11Plate.2	C12Plate.3	D5Plate.3	B2Plate.3	A10Plate.3	D4Plate.3	F6Plate.3	F7Plate.3	D10Plate.4	D2Plate.3	D3Plate.3	E3Plate.3	A2Plate.3	D6Plate.4	E7Plate.3	E8Plate.3	D1Plate.3	B12Plate.1	F9Plate.4	C1Plate.1	D7Plate.4	H12Plate.4	E8Plate.4	B12Plate.4	G2Plate.4	C10Plate.7	C3Plate.1	H11Plate.4	B11Plate.4	H4Plate.4	D2Plate.4	F7Plate.4	B9Plate.7	G11Plate.4	D8Plate.4	F8Plate.4	F10Plate.4	C4Plate.7	G6Plate.4	E2Plate.4	H9Plate.4	E9Plate.4	E10Plate.4	C8Plate.1	D3Plate.4	C2Plate.7	C10Plate.1	D2Plate.1	A3Plate.1	B8Plate.7	C9Plate.7	C8Plate.7	A1Plate.7	E3Plate.1	A6Plate.7	E4Plate.1	B5Plate.7	F3Plate.1	F6Plate.1	F7Plate.1	A6Plate.1	F10Plate.1	F11Plate.1	G6Plate.2	F12Plate.2	C6Plate.2	A9Plate.1
trans-Ferulic_acid	-0.79551	-0.53502	-0.030338	-0.44403	1.6466	-0.17382	-0.37772	-0.46308	-0.017253	-0.54939	-0.80469	0.38522	0.13923	-0.70715	-0.14581	-0.54193	-0.77766	-0.92625	-0.40152	0.2039	0.96872	-0.37377	-0.3328	6.4564	-0.51658	0.31244	0.084406	0.0036081	0.56981	0.22434	0.17985	-0.63052	-0.23659	-0.50267	-0.78017	-0.16145	-0.80817	5.3869	1.7689	-0.6204	-0.50796	-0.75841	-0.098316	-0.37377	-0.3846	-0.11252	0.62184	-0.50892	-0.53576	-0.17382	-0.66416	-0.80817	-0.74339	0.2889	-0.40283	-0.45043	0.14393	-0.74852	-0.2834	0.36099	-0.72601	-0.73973	-0.52242	-0.23452	-0.040618	-0.69014	-0.62094	-0.16145	-0.78561	0.59509	-0.19498	-0.69224	-0.63401	0.68941	-0.13066	0.86849	4.0941	-0.47128	1.6698	0.82308	0.98315	-0.11765	-0.64627	-0.7894	0.75971	0.51956	-0.61622	-0.23228	1.1236	3.378	-0.18789	0.23964	-0.7174	-0.6799	-0.68874	0.052007	0.5614	-0.82316	-0.040618	-0.18789	0.6124	0.048119	1.8493	0.30086	-0.22587	-0.66045	0.2503	0.98315	0.2449	-0.29035	0.31244	1.0382	-0.26992	0.30648	-0.66983	-0.84932	-0.74981	-0.36946	-0.4258	-0.67144	-0.75253	0.42757	-0.1283	-0.13066	-0.20807	-0.75131	-0.61883	-0.43629	-0.68874	-0.23659	2.5111	-0.30677	0.37284	2.1455	0.33624	-0.59338	1.9348	0.53667	-0.053519	0.2827	-0.69511	-0.03369
Salicyluric_acid	-0.36994	-0.3592	-0.28664	-0.3749	0.053651	-0.45229	-0.16725	-0.29371	-0.29301	-0.50167	-0.29111	-0.21118	-0.22645	-0.3432	0.076774	-0.29111	-0.4154	-0.48805	-0.39482	-0.24974	0.27859	-0.040263	-0.23545	1.1279	-0.3453	-0.34469	-0.036558	-0.1006	-0.29523	0.096907	-0.3453	-0.57687	-0.54476	-0.58518	-0.3641	-0.55551	-0.35768	-0.29589	1.3553	-0.36172	-0.37692	-0.36452	0.20937	-0.20726	-0.29353	-0.29196	2.4572	-0.40772	-0.36721	-0.33394	-0.27518	-0.41364	-0.39185	-0.26713	-0.19365	0.26875	-0.19592	-0.34207	-0.10855	-0.17399	0.78963	-0.40305	-0.40679	-0.38424	-0.15157	-0.4585	-0.21143	-0.038693	-0.41683	-0.32957	-0.26946	-0.39368	-0.28787	-0.15931	-0.17952	-0.32594	0.56381	0.65511	0.44834	-0.078125	-0.050785	-0.27139	-0.27598	-0.44931	-0.10479	-0.097564	-0.49923	0.68706	0.08744	0.19743	0.075978	-0.1922	-0.32902	-0.48332	0.25742	-0.19567	-0.11553	-0.52663	-0.14982	-0.23523	-0.15261	-0.31678	0.061131	-0.10975	2.1083	-0.3778	-0.12695	-0.22718	-0.29011	0.13263	-0.29775	-0.31528	-0.26381	-0.12109	-0.31167	-0.26573	-0.30274	-0.14913	0.4105	0.041808	-0.44135	0.61929	-0.13688	-0.28413	-0.44759	-0.56975	-0.048725	-0.16659	2.2644	4.1692	1.885	-0.21356	-0.0087268	-0.022159	-0.15399	-0.21875	0.019624	-0.13353	-0.29707	-0.12933	4.557	-0.34469
"3-Methoxy-4,5-methylenedioxybenzoic_acid"	-0.98081	0.28758	-0.38125	0.45392	0.94932	-0.59951	3.2875	-0.68016	0.20934	-1.027	0.12487	-0.036122	-0.30439	-0.81952	0.26169	-0.85122	-0.73921	-1.0235	-0.47207	-0.24874	0.43349	0.9446	0.205	0.62961	-0.16592	-0.55106	1.2463	1.6068	0.83113	2.7284	-0.78529	-0.83262	0.45392	-0.42885	-0.62278	-0.27255	-0.67393	0.52777	1.585	-0.60114	-0.60029	-0.65318	0.95438	-0.0079874	0.58393	-0.33219	0.64021	-0.85122	-0.87745	-0.68086	-0.70798	-0.35358	-1.1459	-0.6396	-0.52934	0.085328	1.4992	-0.47988	0.53458	-0.52247	-0.037869	-1.0274	-0.43092	1.4398	-0.61973	-0.58148	-0.72749	0.19313	-1.0756	-0.022354	-0.16009	0.71001	0.73739	0.049428	-0.35925	-0.12008	-0.076685	-0.027606	-0.46619	0.5635	0.48069	0.063164	-0.47117	-1.0035	0.17723	-0.63735	-1.1244	0.75706	0.21833	1.6295	0.13367	-0.41385	-0.28941	-1.0408	8.0583	0.12487	-0.43528	-1.2962	-0.28174	-0.31305	-0.037869	0.8568	0.42459	0.4068	-0.34432	-0.30929	2.1639	1.0517	-0.79332	1.7971	-0.042858	-0.053254	-0.13576	0.89192	-1.0703	-0.2046	-0.19214	1.0027	0.7178	-1.0518	-0.41924	1.207	-0.30309	-0.17611	0.35585	-1.396	0.043793	0.33436	-0.25273	3.4333	-0.19214	-0.048012	0.48659	1.1294	1.8587	-0.15396	0.08343	0.0028134	-0.45855	0.54739	-0.9073	-0.41076
Vanilpyruvic_acid	-0.6199	-0.25017	-0.31068	-0.07383	0.82966	-0.10816	0.055314	-0.30507	0.12841	-0.83067	-0.60043	-0.15365	0.18911	-0.71441	1.0075	-0.6579	0.14726	-0.81842	-0.52341	-0.19628	0.07434	-0.26979	0.1934	0.21465	-0.29882	-0.15748	0.41618	0.57903	0.77209	5.3928	-0.54025	-0.27643	0.069556	-0.229	-0.58405	-0.083129	-0.62063	-0.038846	1.2112	-0.52628	-0.54355	-0.80903	-0.10816	-0.25994	-0.27402	-0.25794	-0.19178	-0.41043	-0.6432	-0.44323	-0.44406	-0.7475	-0.69012	-0.21064	-0.27462	-0.44993	0.76875	-0.34095	0.25252	-0.37682	0.0053188	-0.73007	-0.73831	0.023601	-0.2085	-0.49654	-0.49546	-0.13838	-0.69391	0.21465	-0.33786	-0.51628	-0.37452	0.561	-0.66881	0.37763	0.32955	-0.39275	0.32412	0.74252	1.1045	-0.0073361	-0.072828	-0.71357	0.5192	-0.021683	-0.56083	-0.29649	0.3583	1.7017	0.13244	-0.13488	-0.34516	-0.75923	-0.46657	-0.011611	-0.36833	-0.87896	-0.39233	-0.31867	-0.10474	1.4341	0.086366	0.049478	-0.2085	-0.16938	4.4537	0.80191	-0.75309	-0.033802	-0.010482	0.11032	0.29718	0.65345	-0.74514	-0.46997	-0.35986	1.2966	0.47467	-0.77535	-0.64124	1.1183	-0.27402	-0.44482	0.19053	-0.75895	0.10897	-0.074846	-0.17553	-0.045408	-0.013662	-0.21481	1.0417	0.85056	1.8146	0.0031318	0.30236	0.26232	-0.26552	0.264	-0.5528	-0.054117
N-Acetylserotonin	-0.34298	-0.38068	-0.34389	-0.21542	-0.28288	-0.37473	-0.20303	-0.24532	-0.30998	-0.16101	-0.30633	-0.23401	-0.29245	-0.39953	-0.17623	-0.3028	0.034201	-0.18311	-0.019686	-0.20381	-0.16814	-0.29565	0.95614	-0.31268	-0.28629	-0.2526	-0.12877	-0.16833	-0.037075	-0.18732	-0.16215	-0.14595	-0.39743	-0.12742	0.21997	-0.27453	-0.3117	-0.24431	-0.27051	0.38478	-0.20271	-0.29077	-0.27072	-0.21208	-0.17713	-0.054723	-0.31252	-0.22715	-0.043927	-0.15023	-0.37019	-0.14821	-0.30169	-0.29308	-0.30004	-0.29262	0.42255	-0.12565	-0.17313	-0.30066	0.73924	-0.082068	-0.16044	-0.2411	-0.035757	-0.15243	-0.22069	-0.15062	-0.32063	-0.29209	0.18816	-0.35861	0.021291	-0.25935	4.4044	-0.12586	-0.17202	-0.16604	-0.1977	0.40234	-0.28974	-0.35041	-0.19218	-0.058268	-0.2611	-0.088127	-0.036078	-0.28181	-0.053845	-0.21309	0.1243	-0.18666	7.4316	-0.33189	0.056352	-0.14137	-0.32039	0.067173	-0.16738	-0.18765	-0.2096	0.75294	-0.19507	-0.28964	1.642	0.48114	-0.26073	-0.20796	-0.38037	-0.23996	-0.2411	-0.22312	-0.18515	0.46376	-0.34465	0.70622	-0.2452	0.34975	-0.12106	-0.24236	-0.32873	0.017369	-0.2735	0.54941	0.078704	-0.025526	-0.4135	-0.19688	1.0152	1.0469	0.43759	0.12594	-0.20115	-0.24608	0.4517	-0.19929	-0.26223	-0.27743	0.62891	-0.080195	-0.20241	-0.30573
"2,4-Diamino-6,7-dimethoxyquinazoline"	-0.17101	-0.19213	-0.28231	-0.49567	-0.34936	-1.2076	0.47386	-0.83093	-0.94638	-1.0126	-0.55147	-0.76936	-0.33841	-1.2242	0.83999	-0.91241	2.4881	-0.9723	-0.58707	0.56334	0.67075	-0.29723	-0.32521	-0.31747	-0.4058	-0.78432	2.2231	0.96272	0.6024	0.45611	-0.21567	-0.63361	0.91331	-0.59057	0.40653	0.15562	-0.25403	-0.98221	-0.69796	-0.53109	-0.32521	-0.7126	-0.2424	0.59404	-0.51189	-0.17101	0.066573	-0.69953	-0.58086	1.2043	-0.84461	-0.92792	-0.37677	-0.62762	-0.13315	-0.6182	1.0763	-0.14195	0.12118	-1.2284	0.67494	1.0679	-0.082788	0.047117	-0.095251	-0.46996	-0.35725	-0.86815	-0.32413	-0.72809	3.75	-0.31747	0.11664	0.03801	0.79646	-0.69064	-0.71911	0.026316	-0.49936	0.14918	-0.35828	-1.0696	-0.44414	-1.073	0.090652	-1.2043	-0.10701	-0.50711	0.24863	1.6897	0.46554	0.31888	0.55905	-1.1723	0.69725	-0.12685	-1.312	-0.55608	2.5438	2.2827	0.41373	0.97339	-0.39438	-0.57267	-0.33291	-0.3208	-0.55698	-0.69308	-0.73573	1.142	-0.46012	-0.49165	-0.12685	0.16503	-0.63114	7.3651	4.8303	1.4652	1.5936	-0.956	-0.29038	-0.51768	-0.27285	-1.0813	1.2574	1.2632	1.0046	0.39146	0.4635	-0.84601	-0.12416	-0.80999	2.8124	1.3169	0.94233	0.45418	-0.010348	0.039564	0.20758	0.014417	-0.54394	-0.51
3-Oxo-carbofuran	-0.87169	-0.90283	-0.86222	0.61584	0.31443	-0.29642	-0.27712	-0.52346	-0.097258	-1.2782	-0.75742	0.020473	0.81888	-0.80674	1.9444	-0.58929	-1.2205	-1.0305	-0.93568	-0.2897	0.35862	-0.12113	-0.11309	0.52407	-0.45081	-0.19392	0.23083	0.26733	0.75726	0.38292	-0.56136	-0.53472	-0.13543	-0.42181	-0.99128	-0.34032	-0.98943	2.7867	3.8748	-0.6758	-0.72202	-0.98917	-0.32521	-0.30312	-0.45579	-0.6758	-1.0158	-0.31198	-0.78914	-0.23373	-0.72284	-0.63805	-0.23314	-0.21806	-0.20567	-0.54123	0.60581	-0.24352	0.43079	-0.56172	0.079236	-0.53737	-0.9776	-0.94741	-0.033551	-1.0065	-0.42503	-0.0016663	-1.0396	0.6695	-0.33115	-1.1317	-0.91428	1.2626	-0.27248	0.36236	1.4509	-0.49345	2.8903	0.58735	1.0334	-0.0092533	1.0797	-0.90834	0.45918	-0.34032	-0.70561	-0.42983	0.67112	2.1246	1.1411	-0.4115	-0.1704	-0.96086	-0.73867	0.01882	-0.40727	-0.96492	-0.35617	-0.48968	-0.18249	0.87215	0.22281	0.28498	0.040988	-0.3808	0.2753	1.1571	-1.0872	0.056345	2.1454	2.2627	1.6477	1.4821	-1.0102	-0.31198	-0.29252	1.0874	0.48396	-0.68947	-1.0523	0.20487	-0.64435	-0.56769	0.15143	-0.43441	-0.51339	0.34306	-0.055005	2.8573	0.43501	1.7741	0.78849	0.59728	1.347	0.19848	1.545	1.4857	-0.29366	0.19954	2.9059	-0.039361
Benzoylmalic_acid	-1.4286	-0.24789	-0.45873	-0.078807	1.4242	-0.018068	0.33039	-0.98879	0.29214	-1.2573	-1.0428	-0.78632	0.35903	-1.3922	0.89491	-0.93823	-1.3254	-1.5671	-0.82116	0.33039	0.44364	-0.031438	-0.13909	0.23112	-0.41246	0.20445	0.51094	0.75646	0.0036785	0.32171	0.097488	0.0036785	0.61789	0.3705	-1.1401	0.38746	-1.3022	-0.83725	0.48226	-1.2351	-1.2607	-1.082	-0.094818	0.99719	-0.24908	-0.22895	1.793	-0.63746	-0.90361	-0.30137	-0.99347	-1.093	-1.129	-0.10598	-0.29091	0.03812	2.7002	-0.36156	0.97513	-0.49523	-0.56223	-1.0709	-0.91712	-0.54254	0.22954	-0.72038	-0.79664	-0.38057	-1.6122	2.348	-1.0128	-1.1863	-0.82058	0.28335	-0.98879	2.6217	2.4608	-0.14156	0.9248	0.91417	0.8732	-0.30756	0.088289	-1.3229	0.88154	-0.36256	-1.2434	0.38357	0.78575	1.4998	0.46099	0.086919	-0.94786	-0.95439	-1.0287	0.90592	-0.55597	-1.6084	-0.053866	-0.035483	0.49243	1.0343	0.39702	1.184	-0.20183	0.43944	0.61789	0.91696	-1.0484	0.39702	0.47085	0.67299	0.35719	0.95479	-1.4025	-0.4087	-0.34184	0.68941	0.39888	-1.366	-1.1191	0.025737	-0.12297	-0.41444	0.62941	-0.85752	0.69397	0.60019	1.6469	-0.53107	2.0037	-0.8685	1.8969	2.6078	2.8498	-0.0058768	0.89756	0.77851	-0.27212	1.0845	-1.041	-0.14036
"2,4-Undecadiene-8,10-diynoic_acid_2,3-dehydropiperidide"	-0.78158	-0.92837	-0.93534	-0.61091	-0.27925	-0.38239	-0.0037928	-0.7942	-0.57745	-0.97852	-0.072088	-0.3573	0.52397	-0.55482	1.8879	-0.46579	-0.96143	-0.45962	-0.83417	-0.042213	-0.24432	-0.43929	0.59781	0.30936	-0.50115	-0.48377	1.7058	0.50387	0.58582	0.53942	-0.88624	-0.78117	-0.62387	-0.77875	-0.89749	-0.52131	-0.89694	0.71618	1.4006	-0.7848	-0.84041	-0.75346	-0.42306	1.3128	-0.052272	-0.29846	-0.84801	-0.0076938	-0.51521	0.438	-0.78491	-0.80758	-0.61691	-0.51926	-0.27967	-0.54018	1.0572	-0.021371	1.8879	-0.57996	0.03677	0.20297	-0.62751	-0.59087	-0.47065	-0.81649	2.7686	-0.1902	-0.78099	0.02524	-0.4019	-0.94599	-0.89629	1.6888	1.5421	-0.024427	-0.22731	-0.049267	0.37744	4.4092	2.7192	-0.23133	-0.048955	-0.28438	0.27865	-0.65372	-0.76772	-0.41491	-0.3171	1.1421	-0.041943	-0.6602	-0.24883	-0.64882	0.019853	-0.61853	-0.61749	-0.51282	0.033714	-0.1358	-0.58821	1.3001	-0.39121	-0.84127	2.4099	-0.16957	0.011761	0.20086	-0.66001	0.033714	-0.1538	-0.18278	0.041168	0.44288	1.9461	0.14524	-0.28704	0.42228	0.94349	5.7573	-0.91381	-0.86825	-0.53053	-0.56326	-0.28642	0.20086	-0.78768	-0.60961	-0.091813	1.0717	-0.24246	0.80778	1.2951	0.4391	1.3108	0.51951	0.21631	0.16641	-0.43687	-0.23828	-0.69782	-0.36523
"(±)-2-(1-Methylpropyl)-4,6-dinitrophenol"	-0.781	-0.6308	-0.81	-0.38333	0.22231	-0.26366	-0.22425	-0.77726	0.22829	-0.55636	-0.31466	0.68902	0.22527	-0.77766	1.414	-0.62279	-0.57456	0.24189	-0.81592	-0.037955	0.34108	-0.19658	0.15138	0.267	-0.39025	0.3286	-0.10207	0.42161	1.1454	0.15535	-0.081718	-0.22124	0.049738	0.011904	-0.86212	0.0096885	-0.703	-0.44878	0.028813	-0.59383	-0.59446	-0.41763	-0.15397	-0.2949	-0.031618	-0.35348	-0.36719	0.44746	0.072361	-0.21902	-0.83029	0.022026	-0.58916	-0.3448	-0.58483	-0.71392	0.31441	-0.1337	-0.25803	-0.23155	-0.1523	-0.52227	-0.65632	-0.27377	0.035851	-0.62433	-0.48714	-0.21454	-0.87309	0.36461	0.69957	-0.81488	-0.75941	-0.082762	0.16754	0.059026	-0.27377	-0.28638	0.33389	-0.21902	0.090495	-0.13284	-0.1523	0.11686	0.061506	-0.25803	-0.18292	-0.52512	0.36272	1.1538	-0.33125	2.311	-0.35813	-0.69928	0.16615	-0.14144	-0.27246	-0.18692	-0.073037	-0.17796	-0.16569	1.0095	0.13653	-0.020315	0.72448	0.0018555	0.012963	0.89434	-0.46245	0.079614	0.93991	1.0095	0.25581	1.1795	-0.89426	0.063822	0.04741	0.96496	0.48076	-0.72263	-0.84852	-0.17876	-0.46965	-0.55192	-0.025445	0.084163	0.12215	0.14189	-0.27702	-0.22868	-0.10389	-0.33653	2.1309	1.5968	1.9753	1.1494	0.17448	0.22527	-0.11593	-0.36321	9.1503	-0.14979
2-Carboxy-4-dodecanolide	-0.76802	-0.64947	-0.84672	-0.78513	-0.11856	-0.57825	1.4881	-0.81952	-0.90114	-0.84341	-0.14689	-0.98084	0.37887	-1.2506	0.91038	-0.05876	-0.8921	-0.24548	-0.46023	1.2052	0.26285	-0.41407	-0.11356	0.95652	-0.57772	-0.32548	-0.29323	-0.25733	0.31773	-0.11356	-0.165	-0.60223	-0.20719	-0.50692	-0.40078	-0.20569	-0.7035	0.15331	-0.22223	-0.74568	-0.5746	-0.50855	-0.59593	0.2494	-0.14027	-0.35719	-0.77385	-0.41903	-0.1394	-0.82147	-0.96716	-0.69373	0.029882	-0.41661	0.36283	-0.53022	1.9823	-0.080067	0.32135	-1.0615	2.1477	0.69235	-0.020956	0.02037	-0.61123	-0.75055	4.7269	-0.71162	-0.68594	-0.58032	0.42613	-0.69551	-0.38591	0.19836	0.74927	-0.6974	-0.98201	-0.06208	0.79087	1.4801	0.63521	-0.75222	-0.20263	-0.037588	0.70977	0.51696	-0.27341	-0.39058	0.20993	1.0014	-0.17626	0.80728	-0.22828	-0.74526	0.040477	-0.40078	-1.0548	-0.90252	1.5649	1.4006	-0.024338	0.85456	-0.49191	-0.71741	0.034708	-0.5226	-0.49479	-0.50227	-0.5386	-0.057805	-0.22144	-0.29947	-0.23203	0.075405	0.90515	0.26174	-0.31984	0.81728	1.9661	7.2587	-1.0067	-0.79821	-0.32611	-0.94393	0.31668	-0.10258	-0.23277	-0.31287	-0.23964	-0.3366	-0.080989	-0.2861	0.60957	0.032736	-0.15018	0.51832	1.3529	1.0901	-0.57302	-0.72643	-0.38863	-0.13018
Melatonin_radical	-1.0319	-1.119	-1.2433	-0.41583	-0.51735	-0.70182	-0.00068401	-0.78708	-0.65769	-1.2131	-0.60814	-0.68978	0.0073917	-0.85436	1.951	-0.55967	-1.0648	-0.85777	-0.96088	-0.11675	-0.5268	-0.10429	0.51402	-0.17829	-0.85145	1.9785	0.38336	0.34463	0.73111	0.56385	-0.24697	-0.72914	-0.52185	-0.61631	-0.91975	-0.66152	-0.89919	0.71581	0.36505	-0.25712	-0.34047	-0.43031	0.28816	1.175	-0.58745	0.011766	0.92908	-0.27999	3.4125	2.1695	-1.0016	-1.0028	-0.9177	-0.52145	-0.24731	-0.55947	1.4184	0.82282	2.1028	-0.8914	-0.26443	0.37973	-0.25237	-0.84786	-0.67407	-0.93259	-0.427	-0.45125	-1.2061	-0.56003	-0.81348	-1.1437	-0.96302	-0.036987	1.3923	-0.28538	-0.4408	0.57514	1.2252	0.25571	0.067994	-0.34761	-0.38847	0.63991	0.58886	-0.97536	1.7311	-0.68935	-0.4673	0.55675	-0.46065	-1.003	0.0048793	0.93467	1.4582	-0.73934	-0.74984	-0.91297	0.50791	1.2805	-0.51672	1.8669	-0.76452	-0.87852	0.066227	0.038326	-0.45034	-0.23295	1.9785	-0.024045	-0.25204	-0.20309	0.072215	0.72548	-1.1277	1.7756	0.99605	1.143	1.3759	-0.86403	-0.90678	-0.89273	-0.2781	-0.70168	-0.61411	0.067154	-0.63764	-0.89767	0.60019	0.29488	0.031732	1.3585	1.3357	1.2337	0.4655	0.51868	0.42935	0.43978	-0.84609	-0.49318	-0.25496	1.6428
2-O-(Z-p-Hydroxycinnamoyl)-(x)-glyceric_acid	-0.86956	-0.61859	-0.65686	0.1419	1.082	0.19805	0.2871	-0.65686	0.41928	-1.1332	-0.81938	-0.38102	0.32356	-0.43841	2.7232	-0.87418	-1.3626	-1.2258	-0.86445	-0.27066	0.098833	0.13958	1.0128	0.78931	-0.43323	-0.060988	0.72785	2.3599	0.91698	0.2357	-0.82968	-0.36727	0.35151	-0.35313	-1.0482	-0.33005	-1.0443	2.7901	0.43591	-0.79438	-0.86697	-1.099	0.087383	0.089742	-0.28418	-0.2734	-0.8024	-0.18622	-0.13061	-0.057191	-0.72097	-1.1725	-0.98846	-0.32506	-0.39329	-0.606	1.5278	-0.19081	0.67771	-0.55288	-0.0037418	-0.91269	-1.0398	-0.81753	-0.71357	-0.55456	-0.5485	0.21684	-0.95646	1.2078	-0.47865	-1.1504	-0.97879	1.1204	-1.1504	0.92228	0.9277	-0.43739	0.42266	0.45699	1.2003	-0.06295	-0.4736	-0.81467	0.74627	-0.71977	-0.9863	-0.24985	0.58148	3.0073	0.9277	-0.31011	-0.15207	-0.69675	-0.6846	0.46069	-0.49094	-1.2629	-0.47568	-0.36145	-0.15885	2.2211	0.19247	0.61782	-0.12889	0.049575	0.9503	1.871	-0.89297	0.60598	0.40639	0.3451	0.69137	2.208	-1.0404	-0.12374	0.069679	1.644	0.18461	-0.89378	-0.98258	0.26646	-0.46682	-0.52575	0.56102	-1.1457	0.12501	0.1419	-0.32882	-0.14559	0.092047	1.719	2.4024	1.94	3.5669	1.5456	0.46771	0.46069	-0.78714	0.41294	-0.92881	0.5732
{4-[(1E)-3-methoxy-3-oxoprop-1-en-1-yl]phenyl}oxidanesulfonic_acid	-0.86369	0.53574	0.13646	-0.21415	1.6333	0.058124	-0.64886	-0.54077	2.4023	-0.29735	-0.96204	1.0521	-0.63369	-0.96287	-0.66323	-0.90197	-0.52437	-0.90507	-0.14105	1.0228	1.13	-0.41926	-0.54662	0.0094123	-0.34604	0.05193	-0.030022	-0.31579	-0.28054	-0.56422	-0.62227	-0.0086682	-0.10671	-0.28148	-0.97437	-0.01146	-0.94843	-0.38025	0.14738	-0.70355	-0.77303	-0.87456	-0.55182	-0.5585	-0.45541	-0.04849	-0.21258	-0.63626	-0.82318	-0.68947	-0.67171	-0.41118	-0.47868	0.91881	-0.27963	-0.19127	-0.45949	-0.60437	-0.36918	0.43525	-0.50024	-0.70319	-0.45644	-0.045093	1.1351	-0.48513	-0.56255	-0.5937	-0.89339	0.15696	4.0335	-0.81643	-0.82498	-0.64011	-0.43023	0.54685	2.3786	0.60083	3.3032	0.14911	-0.49272	-0.70925	-0.52437	-0.80028	0.035046	0.55992	-0.24206	-0.34729	1.3705	-0.3744	1.6952	1.3024	-0.91806	-0.6282	-0.82689	0.71238	0.422	-0.9006	1.5897	1.5288	1.4516	0.80166	1.5182	1.5146	-0.062269	-0.67939	-0.48099	0.17043	-0.307	-0.51159	3.2161	3.0887	-0.55516	-0.090563	-0.77366	-0.53905	-0.30785	-0.5869	-0.75648	-0.56736	-0.29735	3.9929	-0.12738	-0.43061	0.016888	-0.56502	-0.21567	0.023699	-0.23999	-0.61071	-0.37319	-0.79762	-0.58586	0.010803	-0.54214	-0.87155	0.050371	0.045041	0.81116	-0.5942	-0.74466	-0.54298
3-Hydroxy-4-butanolide	-0.64147	-0.69921	-0.72312	2.5713	1.2366	0.17244	-0.31951	-0.36497	0.27865	-0.74767	0.96643	0.43162	-0.26417	-0.82453	0.37812	-0.13184	0.1854	-0.28539	-0.58358	0.7082	-0.051908	-0.38225	0.76928	0.48988	-0.33838	0.44246	0.066221	-0.21622	2.3796	-0.28284	-0.72229	-0.17963	-0.23594	-0.6195	-0.9602	-0.68474	-0.95285	1.2982	3.1555	-0.44023	-0.40109	-0.60849	-0.015099	-0.57297	-0.1159	-0.084221	-0.51901	-0.097325	-0.41425	-0.22752	-0.45384	-0.88322	-0.65982	-0.079566	0.3486	0.53048	0.15434	-0.5333	-0.14166	-0.1395	-0.22373	-0.71366	-0.63106	-0.82289	1.1294	-0.54935	-0.32907	-0.044302	-0.66126	1.9993	0.82495	-0.72229	-0.68474	0.47294	-0.1694	1.7278	0.59455	-0.27612	0.46142	0.014814	-0.055837	-0.10217	-0.55667	-0.57721	-0.043024	-0.073308	-0.24526	-0.083134	0.066221	0.39041	-0.06833	-0.2804	-0.50199	-0.72229	-0.52195	0.096686	-0.20081	0.14722	0.85475	0.71206	0.73082	1.4712	-0.00659	0.037174	-0.15148	-0.46485	-0.19787	0.58806	-0.49728	-0.14055	0.1836	0.51546	0.095045	0.51852	-0.68919	-0.13738	-0.096044	0.17424	0.27865	-0.44023	-0.46876	0.20135	-0.25419	-0.30763	-0.32195	-0.603	-0.40243	0.60472	-0.43485	14.424	0.035628	-0.36911	0.21491	0.65862	0.16873	-0.065857	0.40284	0.41041	0.85077	0.11334	-0.19681	0.016283
