sample	Actinobacteria	Bacteroidetes	Cyanobacteria	Firmicutes	Fusobacteria	Proteobacteria	TM7	Tenericutes	Verrucomicrobia	Actinomyces	Rothia	Bifidobacterium	Atopobium	Collinsella	Eggerthella	Bacteroides	Parabacteroides	Prevotella	Rikenellaceae_un	S24-7	Barnesiellaceae_un	Odoribacter	Paraprevotella	Rummeliibacillus	Staphylococcus	Gemella	Enterococcus	Lactobacillus	Pediococcus	Lactococcus	Streptococcus	Turicibacter	Clostridiales_un	Christensenellaceae_un	Clostridiaceae_uc	Clostridiaceae_un	Clostridium	Lachnospiraceae_uc	Lachnospiraceae_un	Blautia	Coprococcus	Dorea	Epulopiscium	Lachnobacterium	Lachnospira	Roseburia	Ruminococcus	Peptostreptococcus	Ruminococcaceae_uc	Ruminococcaceae_un	Faecalibacterium	Oscillospira	Ruminococcus	Veillonellaceae_uc	Acidaminococcus	Dialister	Phascolarctobacterium	Veillonella	Mogibacterium	Erysipelotrichaceae_un	Coprobacillus	Eubacterium	Fusobacterium	Sutterella	Bilophila	Enterobacteriaceae_uc	Enterobacteriaceae_un	Klebsiella	Haemophilus	Vibrio	Akkermansia
11	0.00336446	0.02739632	0	0.564336721	0.004531722	0.400302115	0	0	0	0.000137325	0.0005493	0.001579236	6.87E-05	0.000823949	0	0.02712167	0	0.000137325	0.000137325	0	0	0	0	0.002059874	0	0	0.001441912	0.05788245	6.87E-05	0.001029937	0.085347432	0.018264213	0.006385608	0	0.002952486	0.066739907	0.11912936	0.043737984	0.01201593	0.004051085	0.000205987	0.000823949	0.000205987	0	0.00700357	0.000961274	0.054106015	0	6.87E-05	0.013457841	0.00446306	6.87E-05	0.001167262	0.00418841	0	6.87E-05	0.000205987	0.009475419	0	0.001991211	0	0.000137325	0.004531722	0.025199121	6.87E-05	0.017646251	0.342213678	0.003433123	0.002403186	0.00027465	0
12	0.001295272	0.002241817	0	0.294275893	0	0.702137199	0	0	4.98E-05	0.000199273	0.000797091	9.96E-05	4.98E-05	4.98E-05	0	0.001743636	0.000199273	4.98E-05	0.000149454	0	4.98E-05	0	0	0.000199273	0	0	0.000149454	0.000348727	0	0	0.009365815	0.183231206	0.00488218	0	0.003387635	0.006675634	0.004682907	0.001494545	0.000348727	0.000298909	0	0.000199273	4.98E-05	0	9.96E-05	0.000199273	0.001942908	0	0	0.000896727	0.000448363	4.98E-05	4.98E-05	0.000548	0	0	0	0.000846909	0	0	0	0	0	9.96E-05	0	0.002889453	0.673043392	0	0.025307627	9.96E-05	4.98E-05
13	0.020762552	0.111614446	0.00018875	0.794702403	0	0.070844344	0	0.001447087	0	0	6.29E-05	0.013527117	6.29E-05	0.005473764	0	0.039008431	0.005285013	0.004341261	0.059141815	6.29E-05	0.001761671	0.000629168	0	6.29E-05	6.29E-05	0	0	0.004467095	6.29E-05	6.29E-05	0.002642507	0.034352586	0.024285894	0.000566251	0.000880836	0.010444193	0.00119542	0.056184724	0.06140682	0.010003775	0.003523342	0.002516673	0	0.004655845	0.006795017	0.02120297	0.000440418	0	0.021580471	0.253743551	0.191644646	0.007361268	0.013086699	0.000440418	0.00257959	0.001069586	0	0.000314584	0.000125834	0.004718762	6.29E-05	0	0	0.002202089	0.00018875	0.001572921	0.056499308	0.001132503	0.002076255	0	0
14.1	0.027151335	0.833827893	0	0.122106825	0.000148368	0.016617211	0	0	0.000148368	0.000148368	0	0.00578635	0	0.020548961	0.000148368	0.067507418	0.006231454	0.735311573	0.006454006	0.000148368	0.000593472	7.42E-05	0.000296736	0	0	0	0	0.000148368	0	0	0.009347181	7.42E-05	0.002077151	0	0	7.42E-05	0.000593472	0.009718101	0.017878338	0.002002967	0.003709199	0.000964392	0.000222552	0	0.00074184	7.42E-05	0.030712166	7.42E-05	0	0.005712166	0.006454006	0.002002967	0.00037092	7.42E-05	0.019732938	7.42E-05	0.003041543	0.000222552	0	0.000964392	7.42E-05	0	0.000148368	0.011646884	0.000519288	0	0.002299703	0	0.002151335	0	0.000148368
15	0.004693173	0.021296378	0.000309927	0.259497034	0	0.713716462	0	0.000487027	0	0.000752679	0.000177101	0.002523687	0	0.000708403	0	0.007526787	0.000841229	0.000841229	0.011068804	0	0.000619853	4.43E-05	0	0.00092978	4.43E-05	4.43E-05	0.028247587	0.006331356	0.001726733	0	0.0103604	0.000575578	0.008810768	4.43E-05	0.036615603	0.004250421	0.026432303	0.015673426	0.014256619	0.002390862	0.000885504	0.000708403	0	0.001062605	0.001416807	0.005977154	0.000309927	0	0.001815284	0.037235456	0.013990968	0.00101833	0.003807668	0.000442752	0.000664128	0.000309927	0.000132826	0.000265651	0	0.004338971	0	4.43E-05	0	0.000619853	4.43E-05	0.016691756	0.679181794	0.00712831	0.000221376	4.43E-05	0
16	0.029217979	0.88523233	0	0.075649384	6.90E-05	0.009831315	0	0	0	6.90E-05	6.90E-05	0.00389803	0	0.023560661	0	0.011004174	0.000379454	0.865880161	0.000551933	0	0	0	0	0	0.000137983	0	6.90E-05	0.000586429	0	3.45E-05	0.022560281	6.90E-05	0.000206975	3.45E-05	0.000137983	0.000103488	0.001897271	0.008658457	0.011176653	0.001931767	0.004139501	3.45E-05	0	3.45E-05	0.000103488	0.000137983	0.004208493	3.45E-05	3.45E-05	0.001759288	0.00041395	0.000137983	6.90E-05	3.45E-05	0.012625479	0.000172479	0	0.000482942	0	0.000344958	0	0	6.90E-05	0.004725931	0.000206975	0.000137983	0.004036014	0	0	6.90E-05	0
17	0.000626436	0.003215703	0	0.918980998	0.000208812	0.076926289	4.18E-05	0	0	0.000125287	0.000334099	0.000125287	0	4.18E-05	0	0.001670495	4.18E-05	0.001461683	0	0	0	0	0	0.000668198	0.000167049	0.000125287	0.000584673	0.154938401	8.35E-05	0	0.105032366	0	0.000167049	0	0.00175402	0.077803299	0.555648361	0.00476091	0.000626436	0.000167049	0	0	0	4.18E-05	4.18E-05	0.000125287	0.00175402	0	4.18E-05	0.000835247	0.000292337	4.18E-05	0	4.18E-05	0	0	4.18E-05	0.000125287	0	8.35E-05	0	0	0.000208812	0.000668198	0	0.015285028	0.059219044	0	0.000208812	0.000542911	0
18	0.000981868	0.026052235	6.55E-05	0.950775676	0.000523663	0.0216011	0	0	0	0.000654579	0.000261832	6.55E-05	0	0	0	0.025855862	0.000130916	0	6.55E-05	0	0	0	0	6.55E-05	0.000130916	0.000261832	0.002552857	0.41395562	0.000458205	0	0.365254958	6.55E-05	0.000261832	0	0.0012437	0.030503371	0.10702363	0.002945605	0.001047326	0.000392747	0.000130916	0	0	0	0.000327289	0	0.006283956	0.000130916	0	0.000850952	0.000523663	0	0	0	0	6.55E-05	0	0.000458205	0	0.000261832	0	0	0.000523663	0.001440073	0	0.001047326	0.017608169	0	0.000261832	0.000196374	0
19	0.013524007	0.302251844	0	0.548789957	0.000194124	0.134398861	6.47E-05	0	0	0.001164747	0.003947198	0.005823735	0.00071179	0.00174712	0	0.296557526	0.004658988	0.000517665	0.000258833	0	0	0	0	6.47E-05	0.000129416	0.002200078	0.002717743	0.000582373	0	0	0.049437039	6.47E-05	0.002523618	0	0.004400155	0.034748285	0.127928045	0.011712178	0.0031707	0.001876537	0.000388249	0.007894396	0	0	0.000129416	0.000129416	0.22337259	6.47E-05	0.000129416	0.00142358	0.000388249	6.47E-05	0.00071179	0.000582373	6.47E-05	0	0.000388249	0.005500194	0	0.004723696	0	0.005759027	0.000194124	0.024265562	0	0.006276692	0.045683965	0	0.0451663	0.003494241	0
20	0.001390821	0.475289754	0.000278164	0.517663421	0	0.00472879	0	0	0	0	0.00064905	0.000185443	0	0	0.000463607	0.431432545	0.01956421	0.000556328	0.018173389	0	0.000927214	0.001390821	0	0	0	0	0.006305053	0.001668985	0	0	0.001483542	0.001019935	0.009179416	9.27E-05	9.27E-05	0.000927214	0.000463607	0.042651831	0.007139546	0.029114511	0.017060732	0	9.27E-05	0	0	0.000927214	0.001205378	0	0.024014835	0.162911451	0.086694483	0.010292072	0.079091331	9.27E-05	0.000370885	0	0.005192397	9.27E-05	0	0.000463607	0	0	0	0.001483542	0.000278164	0.000185443	0.002410756	0	0	0	0
