sample	Actinobacteria	Bacteroidetes	Cyanobacteria	Firmicutes	Fusobacteria	Proteobacteria	TM7	Tenericutes	Verrucomicrobia	Actinomyces	Rothia	Bifidobacterium	Atopobium	Collinsella	Eggerthella	Bacteroides	Parabacteroides	Prevotella	Rikenellaceae_un	S24-7	Barnesiellaceae_un	Odoribacter	Paraprevotella	Rummeliibacillus	Staphylococcus	Gemella	Enterococcus	Lactobacillus	Pediococcus	Lactococcus	Streptococcus	Turicibacter	Clostridiales_un	Christensenellaceae_un	Clostridiaceae_uc	Clostridiaceae_un	Clostridium	Lachnospiraceae_uc	Lachnospiraceae_un	Blautia	Coprococcus	Dorea	Epulopiscium	Lachnobacterium	Lachnospira	Roseburia	Ruminococcus	Peptostreptococcus	Ruminococcaceae_uc	Ruminococcaceae_un	Faecalibacterium	Oscillospira	Ruminococcus	Veillonellaceae_uc	Acidaminococcus	Dialister	Phascolarctobacterium	Veillonella	Mogibacterium	Erysipelotrichaceae_un	Coprobacillus	Eubacterium	Fusobacterium	Sutterella	Bilophila	Enterobacteriaceae_uc	Enterobacteriaceae_un	Klebsiella	Haemophilus	Vibrio	Akkermansia
113.3	0.00294882	0.025189924	0	0.048905438	2.50E-05	0.922930828	0	0	0	2.50E-05	2.50E-05	0.00254898	2.50E-05	0.00019992	0	0.015143942	0.0012495	0.007197121	0.00129948	0	0.00022491	0	0	7.50E-05	0	0	2.50E-05	0.00032487	0	0	0.0014994	2.50E-05	0.0009996	0	0.022565974	0.003898441	0.00192423	0.00144942	0.00244902	0.00027489	7.50E-05	0	0	0.00129948	7.50E-05	7.50E-05	0.00067473	0	0	0.00069972	5.00E-05	0.00019992	5.00E-05	0.00057477	0.00272391	0	0	0.00017493	0	1.00E-04	0	0	2.50E-05	0.00067473	0.00014994	0.00184926	0.919557177	1.00E-04	7.50E-05	0	0
117.1	0.108416319	0.036620623	0.000160617	0.814327016	0	0.033247671	0	0.006585288	0.000642467	0.002730485	0.001606168	0.018149695	0	0.069386444	0	0.026662384	0.001124317	0.001766784	0.005139737	0	0.000963701	0	0	0	0.001445551	0	0.000642467	0.004818503	0	0.000642467	0.06858336	0.000321234	0.03180212	0.001284934	0.00048185	0.001124317	0.000160617	0.124156762	0.102312881	0.034532605	0.019916479	0.004336653	0	0.000160617	0.001445551	0.003372952	0.008512689	0	0.010118856	0.191133954	0.006745904	0.020558946	0.098618696	0.000160617	0.000642467	0	0.002569868	0.000321234	0.002891102	0.000160617	0	0	0	0.00048185	0.000321234	0.000160617	0.03228397	0	0	0	0.000642467
68.1	0.003456221	0.007186746	0	0.547180162	5.49E-05	0.440640772	0	0	0	0	0.0033465	0.000109721	0	0	0	0.006802721	0	0.000329164	0	0	0	0	0	0	5.49E-05	0	0.005102041	0.002907615	0	0	0.031215712	0.202435813	0.002633311	0	0.01256309	0.022438007	0.068136932	0.018652622	0.004772877	0.006912442	5.49E-05	0	0.04701558	0	5.49E-05	0.000329164	0.110928242	0	0	0.000274303	5.49E-05	0	0	5.49E-05	0	0	0	0.000713189	0	0	0	0	0	0	0	0.007131885	0.422097871	0.003565943	0.000109721	5.49E-05	0
68.3	0.002074364	0.028571429	0	0.442739726	3.91E-05	0.524853229	0	0	0	0.000117417	0.001448141	0.000313112	3.91E-05	3.91E-05	0	0.028375734	3.91E-05	7.83E-05	3.91E-05	0	3.91E-05	0	0	0	3.91E-05	0	0.005440313	0.002074364	0	3.91E-05	0.016947162	0.080821918	0.003835616	0	0.008923679	0.014324853	0.046418787	0.027945205	0.007162427	0.005479452	7.83E-05	3.91E-05	0.024344423	7.83E-05	0.000313112	0.000234834	0.188688845	0	3.91E-05	0.00035225	0.000273973	3.91E-05	3.91E-05	0.000156556	0	0	0	0.00074364	0	0.000195695	0	0	0	3.91E-05	0	0.007866928	0.505362035	0.005088063	0.000587084	3.91E-05	0
121.1	0.00539973	0.009224539	0	0.633868307	0.007274636	0.343932803	0	0	0.000299985	0.001349933	0.002174891	0.000824959	0.000674966	0	0	0.007649618	0.000224989	0.000674966	0.000524974	0	7.50E-05	0	0	0	0.000299985	0.000374981	0.001424929	0.018899055	0.000149993	0.093220339	0.255587221	0.003899805	0.000224989	0	0.017624119	0.032623369	0.128693565	0.002474876	0.001349933	0.000224989	7.50E-05	0	0.012749363	0	0	0.000149993	0.001049948	0	0	0.001649918	0.000149993	0.000224989	0.00059997	0.000224989	0.000374981	0	0.000299985	0.004499775	0	0	0	7.50E-05	0.006074696	0.000524974	0	0.015224239	0.303134843	0.001124944	0.009449528	0.000524974	0.000299985
70.3	0.034476099	0.619024626	0	0.320328344	0.000193143	0.025977789	0	0	0	0.000386287	0.000193143	0.023080637	9.66E-05	0.006470304	0	0.063833897	0.010429744	0.533848382	0.002800579	0	0.001738291	0.000965717	0.000676002	0	9.66E-05	9.66E-05	0	0.00057943	0	9.66E-05	0.023853211	0.000289715	0.017382907	0	0.000193143	0.002221149	0.000676002	0.011685176	0.067213906	0.005311444	0.002028006	0.000772574	0	0.000386287	0.003186866	0.007146306	0.004152583	0	0.001352004	0.07252535	0.053307581	0.001834862	0.003186866	0.000193143	9.66E-05	9.66E-05	0.028295509	0.000965717	0.000193143	0.001448576	0	0.003186866	0.000193143	0.010333172	0	0.00057943	0.008788025	0	0.005794302	9.66E-05	0
71.1	0.048998875	0.557660292	0	0.358065242	0.002069741	0.033160855	0	0	4.50E-05	0.000809899	0.018807649	0.020652418	0.000224972	0.006254218	0	0.064296963	0.008818898	0.475410574	0.002699663	0	0.001079865	0.000629921	0.000809899	0	0	0.002789651	0.000134983	0.000674916	4.50E-05	9.00E-05	0.130213723	0.000224972	0.013543307	0	4.50E-05	0.001664792	0.000494938	0.00935883	0.050528684	0.003554556	0.001619798	0.000494938	4.50E-05	0.000179978	0.002654668	0.004814398	0.003284589	4.50E-05	0.000989876	0.053858268	0.043374578	0.001484814	0.001889764	0.000179978	0	0	0.019662542	0.000764904	9.00E-05	0.001574803	0	0.002069741	0.002069741	0.007604049	9.00E-05	0.000134983	0.006209224	0	0.017367829	0	4.50E-05
71.3	0.003251877	0.632154608	0	0.264615876	1.28E-05	0.099875419	0	6.39E-06	1.92E-05	6.39E-06	0.003117713	5.75E-05	0	1.92E-05	0	0.630825747	5.11E-05	0.000734707	8.94E-05	1.28E-05	1.92E-05	0	6.39E-06	5.75E-05	0	0.000919981	0.00040888	0.000447213	2.56E-05	1.28E-05	0.03743172	6.39E-06	0.000146941	6.39E-06	0.001271362	0.002191343	0.162402172	0.000862482	0.048068999	3.19E-05	0.000159719	0	0	6.39E-06	6.39E-06	6.39E-06	3.83E-05	0	0	0.000281105	0.000121386	1.28E-05	6.39E-06	6.39E-06	6.39E-06	0	4.47E-05	6.39E-06	0	0	0	6.39E-06	1.28E-05	6.39E-05	0	0.002536336	0.089595911	1.28E-05	0.006637917	0.000287494	1.92E-05
121.3	0.00589698	0.465150977	7.10E-05	0.488099467	0.000284192	0.037015986	0	0.002699822	0.000639432	7.10E-05	0	0.003268206	7.10E-05	0.001918295	7.10E-05	0.410301954	0.013499112	0.000426288	0.02678508	0.000213144	0.005541741	0.001634103	0.004973357	0	0	7.10E-05	0.000213144	0.000639432	0	0.00383659	0.004191829	0.000568384	0.084618117	0.000426288	0.003623446	0.005968028	0.044547069	0.036092362	0.072539964	0.008525755	0.007104796	0.002131439	0.001776199	7.10E-05	0.001918295	0.002202487	0.001207815	0	0.00383659	0.081278863	0.073818828	0.004404973	0.02017762	0	0.000142096	0	0	0.000426288	0.000284192	0.003978686	0	0	0.000142096	0.006110124	0.000923623	0.001918295	0.024582593	0	0.000852575	0	0.000639432
129.3	0.010247538	0.012376896	0	0.873835507	0.004125632	0.099281341	0	0	0.000133085	0.002262443	0.004791057	0.001463934	0.000798509	0	0	0.010646793	0.00026617	0.000931594	0.000133085	0.000133085	0.000133085	0.000133085	0	0	0	0.000133085	0.002661698	0.033138142	0.00053234	0.155177003	0.395129092	0.005456481	0.00053234	0	0.002129359	0.044849614	0.108863455	0.003460208	0.002661698	0.00026617	0.000133085	0.000133085	0.022491349	0.000133085	0.00026617	0.000399255	0.001463934	0	0.000133085	0.002129359	0.000399255	0.00053234	0.000399255	0.00026617	0.000798509	0.000133085	0.00026617	0.005722651	0	0.000133085	0	0	0.001197764	0.00026617	0	0.003194038	0.075592228	0.00053234	0.008384349	0.00026617	0.000133085
146.3	0.004830918	0.297676559	0	0.641591902	0.000230044	0.052680009	0	0	0.002530481	0	0	0.000920175	0	0.002760524	0.000690131	0.252127904	0.010812054	0.000920175	0.021164021	0.000230044	0.010121923	0.001150219	0	0.000690131	0	0	0.001150219	0.001610306	0	0.012192317	0.00621118	0.001150219	0.025074764	0.001380262	0.008741661	0.008281573	0.134115482	0.048079135	0.11226133	0.017253278	0.007591442	0.003220612	0.000460087	0	0.003680699	0.005981136	0.002070393	0	0.006671268	0.105129975	0.039797562	0.005751093	0.049229354	0	0	0.000230044	0.000230044	0.000690131	0.000460087	0.004600874	0	0	0	0.009661836	0.001150219	0.001380262	0.035656775	0	0.000690131	0.000690131	0.002530481
158.3	0.000206526	0.003717472	0	0.609871954	0.000206526	0.385790995	0	0	0.000206526	0.000206526	0	0	0	0	0	0.00330442	0	0	0	0.000206526	0.000206526	0	0	0	0	0	0.001445684	0	0	0.000206526	0.000826105	0.000206526	0.003717472	0	0.004130525	0.002065262	0.147666254	0.027054936	0.309582817	0.00330442	0.000206526	0.002065262	0	0	0.003717472	0.041924824	0.019619992	0	0	0.025815779	0.000206526	0	0.000206526	0	0	0	0	0.001858736	0	0.000619579	0	0.000206526	0.000206526	0	0.000206526	0.007021892	0.373399422	0.000206526	0	0.000206526	0.000206526
160.3	0.004781829	0.137776449	0	0.489240885	0.000298864	0.347280335	0	0	0.020621638	0.000298864	0	0.002988643	0.000298864	0	0	0.102809325	0.016437537	0.000298864	0.01524208	0.000298864	0.00209205	0	0.000298864	0.000298864	0	0	0.000597729	0.008667065	0	0	0.002988643	0.012851166	0.007770472	0	0.006276151	0.040944411	0.129109384	0.017632995	0.024805738	0.010759115	0.000298864	0.003885236	0	0.002689779	0	0.009563658	0.003586372	0	0.000298864	0.01105798	0.0041841	0.001793186	0.0041841	0	0.000298864	0.003885236	0.000298864	0.012552301	0.000597729	0.000298864	0.000298864	0	0.000298864	0.003586372	0.001195457	0.006873879	0.32755529	0.001793186	0.003586372	0.000298864	0.020621638
165.3	0.007042254	0.205925206	0	0.726323458	0.001457018	0.057309373	0	0.000971345	0.000971345	0.000242836	0	0.003642545	0	0.000242836	0.001457018	0.144973288	0.025254978	0.000242836	0.026711996	0.000242836	0.002428363	0.000728509	0.003399709	0	0	0	0.006070908	0.009713453	0.0026712	0	0.007527926	0.000971345	0.015541525	0.000728509	0.001699854	0.020641088	0.00922778	0.111704711	0.129188927	0.098105877	0.004856727	0.000971345	0.003399709	0.045410393	0.003156872	0.013598834	0.141816416	0	0.002185527	0.019912579	0.012384653	0.008984944	0.001942691	0.002914036	0	0.003156872	0.000242836	0.000971345	0.001214182	0.003642545	0	0.000971345	0.001457018	0.006070908	0.000242836	0.000971345	0.046381739	0	0	0	0.000971345
186.2	0.00432	0.1936	0	0.3768	0.00016	0.4248	0	0.00016	0	0	0.00048	0.0008	0	0.00256	0	0.16976	0.01152	0.00192	0.0072	0	0.00224	0.00048	0	0	0	0	0.00016	0.00032	0	0.00048	0.0072	0	0.00672	0	0.01664	0.0632	0.01728	0.02256	0.05136	0.02144	0.0032	0.0024	0	0.00016	0.0016	0.01376	0.00336	0	0.00048	0.03456	0.00576	0.00416	0.0104	0.00016	0	0.00304	0	0.004	0.00032	0.00112	0	0.00016	0.00016	0.00144	0.00016	0.00992	0.39904	0.00304	0.00112	0.0008	0
186.3	1.70E-05	0.001613698	0	0.152927587	5.10E-05	0.845254879	0	5.10E-05	8.49E-05	0	0	0	0	0	0	0.000849315	8.49E-05	0.000220822	0.000305753	0	0.000101918	1.70E-05	0	6.79E-05	0	0	0.000152877	0.00118904	0.000118904	1.70E-05	0.000798356	0	0.000220822	1.70E-05	0.135431707	0.002225204	0.0109052	6.79E-05	0.000169863	5.10E-05	0	0	0	0	0	3.40E-05	3.40E-05	0	0	0.000373698	0.000152877	3.40E-05	3.40E-05	0.000186849	0	0	1.70E-05	0.00032274	0	0	0	1.70E-05	5.10E-05	0.000237808	0	0.018209305	0.815019279	0.001630684	0.000118904	0	8.49E-05
76.1	0.000268718	0.000705384	0	0.993416412	0	0.005609486	0	0	0	6.72E-05	0	0.000167949	0	3.36E-05	0	0.000201538	6.72E-05	0.000235128	0.000167949	0	0	0	0	0	0	0	3.36E-05	0	3.36E-05	0	0.000705384	0.001914615	0.010614356	0	0.000537436	0.009741023	0.002619999	0.072419469	0.105438178	0.013838971	0.000436667	0.002687179	0.000369487	0.000134359	0.077793826	0.092271002	0.054986396	0	0.024016661	0.279735313	0.196231232	0.001746666	0.015585637	0	0.000100769	3.36E-05	3.36E-05	0.000302308	0	0.005878204	0.000201538	0.000470256	0	0	0	6.72E-05	0.004904101	0	0.000167949	3.36E-05	0
77.1	0.164186179	0.507820647	0	0.295004266	0	0.032988909	0	0	0	0	0	0.108256707	0	0.051948052	0	0.231680728	0.048724998	0.000379183	0.218219736	0	0.003033463	0.00265428	0	9.48E-05	0	0	0	0.007868044	0	0.001232344	0.00066357	0.000568774	0.016020476	0.000947957	0.000284387	0.00066357	0.000284387	0.051379278	0.043037255	0.014408949	0.006351313	0.000473979	0	0	0.002180301	0.003412646	0.003791829	0	0.004455399	0.086738079	0.008342023	0.015356906	0.00995355	9.48E-05	0	0	0.001516731	0	0.000189591	0.001611527	0.000473979	0	0	0.01194426	0.000473979	9.48E-05	0.020096692	0.000189591	9.48E-05	0	0
78.3	0.001893267	0.001538279	0	0.921074429	0	0.075494024	0	0	0	0	0	0.001893267	0	0	0	0.000828304	0.000118329	0	0.000591646	0	0	0	0	0.000118329	0	0	0.002721571	0.015619453	0.004141522	0	0.006981422	0.000473317	0.009466335	0.000709975	0.000118329	0.000354988	0.000236658	0.080345521	0.300437818	0.048396639	0.00437818	0.006153118	0.002129925	0.000118329	0.004259851	0.000828304	0.283753402	0	0.000946634	0.03360549	0	0.052893149	0.044728435	0	0.000118329	0	0	0	0	0.003313217	0	0.000354988	0	0	0	0.000828304	0.073364099	0	0	0.000118329	0
79.1	0.00762987	0.249404762	0	0.724188312	0	0.018506494	5.41E-05	0	0	0.000162338	0.000108225	0.000757576	0	0.004761905	0	0.180248918	0.004816017	0.000162338	0.0254329	0.000108225	0.009145022	0	0.027867965	0	5.41E-05	0.000108225	0	0	0	0	0.01547619	0.002218615	0.017965368	0	5.41E-05	0.000649351	0.00021645	0.096807359	0.190638528	0.018019481	0.007305195	0.001839827	0	5.41E-05	0.041071429	0.189339827	0.011093074	0	0.003463203	0.061958874	0.039177489	0.003084416	0.000108225	0	0.000162338	0.001948052	0	0.001677489	0.00021645	0.00232684	0	0.000108225	0	0.004599567	0.000811688	0	0.000703463	0	0.00211039	0	0
79.3	0.024451654	0.298794364	0	0.66266402	0	0.014041544	0	0	0	0.000629449	0.00053261	0.003050404	4.84E-05	0.012637389	0	0.209364257	0.003001985	4.84E-05	0.030794558	0.000145257	0.005229265	0	0.046482351	0	0.000193676	4.84E-05	0	4.84E-05	0	0	0.02299908	0.001597831	0.020336029	0	4.84E-05	0.000193676	0.000145257	0.098629739	0.189609258	0.029874594	0.013605772	0.003679853	4.84E-05	0	0.010168014	0.103084298	0.009248051	0	0.004745073	0.084297681	0.039703675	0.00435772	0.000435772	0	0.000145257	0.001258897	0	0.000581029	0.00053261	0.001936765	0	9.68E-05	0	0.003437757	0.000968382	0	0.00111364	0	0.00053261	4.84E-05	0
80.3	0.001000667	0.323215477	0	0.318612408	6.67E-05	0.357038025	6.67E-05	0	0	6.67E-05	0	0.000266845	0	0	0.000133422	0.299066044	0.005737158	0.000533689	0.005203469	0	0.012341561	0	0	6.67E-05	6.67E-05	6.67E-05	6.67E-05	0.000733823	0	0.000466978	0.006737825	0	0.011807872	0	0.048165444	0.001334223	0.008539026	0.010873916	0.021414276	0.016010674	0.002001334	0.000400267	6.67E-05	0.002535023	0	0.018879253	0.003669113	0	0.00406938	0.03509006	0.09006004	0.003068712	0.011541027	0.000200133	6.67E-05	0	0.004803202	0.000400267	0.000667111	0.000933956	0	6.67E-05	6.67E-05	0.006270847	0	0.008939293	0.335757171	0.000800534	0.000533689	0	0
81.1	0.00064433	0.006765464	0	0.462843643	0.005369416	0.522658935	0	0	0.000536942	0.000107388	0.000107388	0.000322165	0	0	0.000107388	0.000966495	0.000107388	0.005476804	0	0.000214777	0	0	0	0	0	0	0.000214777	0.000214777	0	0	0.000429553	0.000536942	0.017504296	0	0.015034364	0.014497423	0.117697595	0.043492268	0.151847079	0.007839347	0.000859107	0.000429553	0.000322165	0.000107388	0.000429553	0.000429553	0.033505155	0	0.000429553	0.028350515	0.000322165	0.003114261	0.014604811	0.000429553	0	0.000322165	0	0.000536942	0.00064433	0.000859107	0.000107388	0.001718213	0.005369416	0.003006873	0.001073883	0.009879725	0.371241409	0.004510309	0.115871993	0.004832474	0.000536942
81.3	0.000212766	0.275035461	0	0.267163121	0.003191489	0.451914894	0	7.09E-05	0.00106383	0.000141844	0	0	0	0	7.09E-05	0.108297872	0.004751773	0.133617021	0.005602837	0.000425532	0	0.00035461	0	0	0	0	0.000212766	0.000141844	0	7.09E-05	0.000638298	0.000567376	0.015035461	7.09E-05	0.000283688	0.002340426	0.001702128	0.033900709	0.118439716	0.006312057	0.00177305	0.000638298	0.00035461	7.09E-05	0.001134752	0.000567376	0.026595745	0	0.00106383	0.019361702	0.000638298	0.002978723	0.021347518	0.00035461	0	0.000992908	0	0.000212766	0.000141844	0.000638298	0	0.000638298	0.003191489	0.003333333	0.00106383	0.007234043	0.428794326	0.006170213	0.000212766	7.09E-05	0.00106383
82.3	0.007748831	0.329659319	0	0.23740815	0.001202405	0.42237809	0	0	0.001068804	0.001269205	0.001135605	0.004008016	0.001135605	0.000133601	6.68E-05	0.176219105	0.006346025	0.117902472	0.005277221	0	0.000467602	0.000868403	0	0.000267201	6.68E-05	0	0.001469606	0.023513694	0	0	0.027254509	0.001135605	0.008483634	0.000133601	0.001135605	0.004475618	0.002672011	0.024181697	0.051903808	0.008617234	0.00253841	0.000334001	0	0.006412826	0.003139613	0.011489646	0.012291249	0	0.000801603	0.013894456	0.001870407	0.001736807	0.006613226	0.000734803	6.68E-05	0.000467602	6.68E-05	0.002004008	0.000200401	0.001135605	0	0.000334001	0.001202405	0.00247161	0.000801603	0.004609218	0.406947228	0.002805611	6.68E-05	0	0.001068804
192.1	0.000240192	0.635756605	0	0.058831065	0	0.302978383	0	0	0.001841473	0	0	3.20E-05	0	8.01E-05	0.000128102	0.241889512	0.011785428	0.303090472	0.010296237	0	0	0.001873499	0	3.20E-05	0	0	1.60E-05	6.41E-05	0	1.60E-05	0.000272218	1.60E-05	0.003955164	6.41E-05	0.00011209	0.000176141	0.000496397	0.007317854	0.016589271	0.001008807	0.002658127	9.61E-05	0	1.60E-05	0.001361089	0.00051241	0.000368295	0	0.000736589	0.011705364	0.001281025	0.00153723	0.004675741	4.80E-05	0	0.000720576	0	6.41E-05	4.80E-05	0.000176141	3.20E-05	3.20E-05	0	3.20E-05	0.000448359	0.001200961	0.297485989	0.000784628	0.00051241	4.80E-05	0.001841473
192.2	0.05410625	0.037801558	0	0.876780852	0.000126638	0.030804787	6.33E-05	6.33E-05	0	0.018077629	0.002817704	0.002754385	0.003672513	0.000253277	0.000221617	0.025454315	0.009149623	0.000126638	0.001361363	0.00079149	6.33E-05	0.000189958	0.000158298	0	0.111663395	0.000189958	0.001393022	0.17947825	0.000728171	0.000443234	0.304691952	6.33E-05	0.00781992	0.000158298	0.000126638	0.001139745	0.000253277	0.026277465	0.059456721	0.019945545	0.001456341	0.000823149	0	0	0.000474894	0.00785158	0.005730387	3.17E-05	0.000664852	0.080035459	0.003387577	0.004179067	0.013455328	6.33E-05	0	0.002817704	0	0.033084278	0	0.000474894	3.17E-05	0.000158298	0.000126638	0.000189958	0.001013107	0.001234724	0.02583423	0.000221617	0.000728171	0	0
84.1	0.000571237	0.000840054	0	0.950168011	0	0.048420699	0	0	0	3.36E-05	0	0.000504032	0	3.36E-05	0	0.000235215	0	3.36E-05	0.000235215	0.000201613	6.72E-05	0	6.72E-05	0	0	0	0.000638441	0.006048387	0.00094086	6.72E-05	0.002587366	0.000302419	0.0125	0.000134409	0.000201613	0.000436828	0.000436828	0.080342742	0.170228495	0.02405914	0.004166667	0.003797043	0.001276882	0.000168011	0.032627688	0.064952957	0.128696237	0	0.017271505	0.188272849	0.111794355	0.020900538	0.056787634	0	0	0	6.72E-05	0.000604839	0	0.002990591	0.000168011	0.000537634	0	3.36E-05	0	0.000604839	0.045698925	0.000168011	0.000134409	0	0
84.3	0.000113071	0.000678426	0	0.994742198	0	0.004466305	0	0	0	5.65E-05	0	5.65E-05	0	0	0	0.000395749	0	0	0.000169607	0	0.000113071	0	0	0	0	0	0	0	0	0	0.000282678	0.000904568	0.011476707	0	0.000791497	0.006388512	0.001809136	0.07960199	0.087799638	0.012890095	0.000621891	0.001865672	5.65E-05	0.000226142	0.072252374	0.083163727	0.040592492	0	0.042797377	0.315524649	0.203527815	0.001243781	0.007858435	0	5.65E-05	5.65E-05	5.65E-05	0.000226142	0	0.002148349	0.000169607	0.000113071	0	5.65E-05	0	0.000113071	0.004296698	0	0	0	0
85.3	0	0.000966752	0	0.995166239	0	0.003867009	0	0	0	0	0	0	0	0	0	0.000588458	0	4.20E-05	0.000252196	0	8.41E-05	0	0	0	0	0	0	0	0	0	0.000378294	0.001387079	0.013156236	0	0.000504392	0.006431003	0.001933504	0.084065403	0.087848346	0.011432895	0.000714556	0.002395864	0.000210164	0.000126098	0.069816317	0.085536547	0.042032701	0	0.042242865	0.319826825	0.191206759	0.001429112	0.009625489	0	8.41E-05	8.41E-05	4.20E-05	0.000294229	0	0.003320583	4.20E-05	0.000336262	0	0	0	4.20E-05	0.003530747	0	0.000210164	0	0
192.3	8.98E-06	0.001311499	0	0.034431339	0	0.96390683	0	1.80E-05	0.000323383	0	0	0	0	0	8.98E-06	0.000961167	2.69E-05	2.69E-05	0.000206606	7.19E-05	8.98E-06	0	0	2.69E-05	1.80E-05	8.98E-06	0.000269486	0.000161692	0	8.98E-06	0.000368298	0.000179657	0.001994197	0	8.98E-05	0.004284829	0.000521006	7.19E-05	0.000242537	2.69E-05	0	0	0	0	1.80E-05	1.80E-05	3.59E-05	0	8.98E-06	0.000278469	0.000107794	0	1.80E-05	0.000628801	2.69E-05	0	8.98E-06	0.001230653	8.98E-06	0	0	8.98E-06	0	0.000107794	0	0.104524671	0.788561214	0.002039111	0.000143726	0.00078151	0.000323383
87.1	0.000150688	0.001243172	0	0.992766999	0	0.005839141	0	0	0	0	0	0.000150688	0	0	0	0.000565078	0	3.77E-05	0.000452063	0	7.53E-05	0	7.53E-05	0	0	0	3.77E-05	0.000226031	3.77E-05	0	0.00060275	0.000904125	0.012544735	3.77E-05	0.000527406	0.005839141	0.002071953	0.081333584	0.092296101	0.012055001	0.000753438	0.002561688	0.000113016	0.000150688	0.068939537	0.082953475	0.044000753	0	0.036089659	0.312186853	0.199773969	0.001469203	0.011753626	0	3.77E-05	7.53E-05	7.53E-05	0.000263703	0	0.00380486	0.000226031	0.000263703	0	3.77E-05	0	0.000226031	0.005387079	0	0.000113016	0	0
87.3	0.023642658	0.303808157	0	0.657856962	0	0.014692223	0	0	0	0.000675505	0.000337752	0.002110952	0	0.013003462	0	0.216583636	0.002364266	8.44E-05	0.029384447	0	0.004390779	0	0.046609812	0	8.44E-05	0	0	0	8.44E-05	0	0.020349574	0.001688761	0.017394241	0	0	0.000506628	0.000168876	0.101578992	0.189056827	0.028202314	0.0130879	0.004306341	0	0	0.00743055	0.106138647	0.008612683	0	0.003968589	0.083002618	0.040192519	0.005066284	0.000168876	8.44E-05	0	0.001266571	0	0.00042219	0.000168876	0.002110952	0	0.000253314	0	0.004221903	0.001182133	0	0.000928819	0	0.000675505	0	0
88.1	0.028952772	0.304106776	0	0.654551677	6.84E-05	0.012251882	0	6.84E-05	0	0.001026694	0.000205339	0.003353867	0	0.015879535	0	0.222518823	0.002053388	0.000136893	0.025530459	0.000136893	0.005475702	0	0.04476386	0	0.000205339	6.84E-05	0	0.000136893	0	0	0.019028063	0.001368925	0.0183436	0	0	0.000273785	0.000136893	0.103969884	0.191512663	0.028610541	0.014989733	0.00403833	0	0	0.009856263	0.101779603	0.009650924	0	0.004722793	0.078781656	0.035318275	0.003832991	0.000410678	0	0.000136893	0.001368925	0	0.000273785	0.000479124	0.001779603	0	6.84E-05	6.84E-05	0.003148528	0.000752909	0	0.001437372	0	0.000684463	0	0
88.3	0.026532276	0.295857111	0	0.66301045	0	0.014600163	0	0	0	0.000370563	0.000222338	0.003409175	0	0.013710813	0	0.208626695	0.002519825	7.41E-05	0.026976951	0.000148225	0.005261988	0	0.048395464	0	0.000370563	7.41E-05	7.41E-05	0.00029645	0	0	0.017861113	0.001408138	0.018898688	0	0	0.000222338	7.41E-05	0.102794041	0.183131994	0.027643964	0.014526051	0.003705625	7.41E-05	0.000222338	0.00978285	0.102423479	0.01037575	0	0.005929	0.088638553	0.040910102	0.00444675	0.001630475	7.41E-05	7.41E-05	0.001111688	0	0.000222338	7.41E-05	0.00207515	0	0.000148225	0	0.00385385	0.000667013	7.41E-05	0.002297488	0	0.000370563	0	0
89.3	0.005484133	0.015034152	2.94E-06	0.732476017	0.004720631	0.241722913	0.000292467	5.29E-05	5.81E-05	0.002525655	0.00196644	0.000371096	0.000208695	8.38E-05	5.88E-06	0.00589491	0.000266748	0.006006606	0.000675321	0.000455603	0.000101408	5.51E-05	0.000183711	0.000473239	1.32E-05	0.002427186	0.012246893	0.001006735	9.55E-06	0.004453148	0.023780987	0.000425474	0.00713459	5.81E-05	0.072154229	0.066429067	0.424757594	0.00961395	0.017770707	0.001939985	0.001459398	0.000837721	7.86E-05	7.13E-05	0.000443845	0.001071401	0.005402565	0	0.00046589	0.015217863	0.00535921	0.000196938	0.002877645	0.000310839	2.65E-05	2.57E-05	0.000989099	0.002234657	4.70E-05	0.00011831	7.35E-07	0.000457807	0.004685359	0.00051292	3.82E-05	0.017293794	0.208128833	0.000318187	0.000290998	0.003907895	3.60E-05
90.1	0.024517475	0.277973396	0	0.683750652	0	0.013693271	0	0	0	0.000456442	0.000456442	0.003912363	0	0.011215441	0	0.199791341	0.002738654	0.000130412	0.026147626	0.000195618	0.00462963	0	0.040036515	0	0	0	0	0.000391236	0	0	0.017214397	0.001760563	0.018453312	0	0	0.000195618	0.000391236	0.111241523	0.186880543	0.029277517	0.014410537	0.004107981	0	0	0.009650496	0.105633803	0.010954617	0	0.007368284	0.088354199	0.041797079	0.003781951	0.001825769	0	6.52E-05	0.001695357	0	0.000260824	0.00032603	0.002086594	0	6.52E-05	0	0.002347418	0.000912885	6.52E-05	0.002869066	0	0.000521648	0	0
90.3	0.003732272	0.150534959	0	0.826275193	0	0.019407813	0	0	0	0.000149291	0.000149291	0.000597163	0	0.002040309	0	0.110276188	0.002239363	4.98E-05	0.015725305	4.98E-05	0.00343369	0	0.017566559	0	9.95E-05	9.95E-05	4.98E-05	0.0016422	0.000149291	0	0.010151779	0.001293854	0.017317741	9.95E-05	0	0.000696691	0.000248818	0.116148296	0.177158497	0.023936303	0.009455088	0.002388654	0.000248818	0	0.041154516	0.163274446	0.038118935	0	0.010947997	0.110674297	0.053545658	0.007713362	0.012391142	0	0.000248818	0.000796218	0	0.000746454	9.95E-05	0.003085345	0	0.000298582	0	0.002488181	0.000497636	9.95E-05	0.009853197	0	0.000796218	0	0
